step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.297929,219241.43,nan,nan,6.382979e-06,181571,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.297929
10,11.612829,110506.45,nan,nan,6.382979e-05,396760,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.612829
20,11.205729,73550.64,nan,nan,1.276596e-04,397452,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.205729
30,10.452414,34627.85,nan,nan,1.914894e-04,397551,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.452414
40,9.505082,13427.80,nan,nan,2.553191e-04,397371,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.505082
50,8.613091,5503.24,nan,nan,2.999927e-04,397447,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.613091
60,7.937527,2800.43,nan,nan,2.998632e-04,396041,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.937527
70,7.600154,1998.50,nan,nan,2.995718e-04,397391,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.600154
80,7.409231,1651.16,nan,nan,2.991191e-04,397335,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.409231
90,7.112818,1227.60,nan,nan,2.985054e-04,397266,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.112818
100,6.997408,1093.79,nan,nan,2.977316e-04,397409,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.997408
110,6.782887,882.61,nan,nan,2.967986e-04,395975,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.782887
120,6.746021,850.67,nan,nan,2.957074e-04,397455,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.746021
130,6.571144,714.19,nan,nan,2.944595e-04,397368,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.571144
140,6.533866,688.05,nan,nan,2.930562e-04,397488,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.533866
150,6.381368,590.74,nan,nan,2.914994e-04,397376,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.381368
160,6.350864,572.99,nan,nan,2.897907e-04,396011,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.350864
170,6.264838,525.76,nan,nan,2.879324e-04,397197,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.264838
180,6.157166,472.09,nan,nan,2.859266e-04,397294,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.157166
190,6.213454,499.42,nan,nan,2.837758e-04,397375,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.213454
200,6.004147,405.11,nan,nan,2.814824e-04,397334,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.004147
210,6.076189,435.37,nan,nan,2.790494e-04,396111,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.076189
220,5.964670,389.42,nan,nan,2.764795e-04,397460,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.964670
230,6.002586,404.47,nan,nan,2.737759e-04,397452,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.002586
240,5.866741,353.10,nan,nan,2.709418e-04,397466,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.866741
250,5.861213,351.15,5.845136,345.55,2.679806e-04,397491,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.861213
260,5.803040,331.31,nan,nan,2.648958e-04,211675,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.803040
270,5.711723,302.39,nan,nan,2.616912e-04,397400,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.711723
280,5.747666,313.46,nan,nan,2.583707e-04,397422,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.747666
290,5.616752,274.99,nan,nan,2.549381e-04,397327,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.616752
300,5.671080,290.35,nan,nan,2.513976e-04,397349,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.671080
310,5.571049,262.71,nan,nan,2.477535e-04,395976,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.571049
320,5.571174,262.74,nan,nan,2.440102e-04,397445,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.571174
330,5.504750,245.86,nan,nan,2.401720e-04,397442,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.504750
340,5.557431,259.16,nan,nan,2.362437e-04,397392,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.557431
350,5.482752,240.51,nan,nan,2.322299e-04,397443,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.482752
360,5.435628,229.44,nan,nan,2.281354e-04,396032,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.435628
370,5.423109,226.58,nan,nan,2.239652e-04,397485,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.423109
380,5.333483,207.16,nan,nan,2.197243e-04,397415,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.333483
390,5.366208,214.05,nan,nan,2.154177e-04,397493,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.366208
400,5.425946,227.23,nan,nan,2.110506e-04,397385,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.425946
410,5.357612,212.22,nan,nan,2.066283e-04,396013,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.357612
420,5.256022,191.72,nan,nan,2.021561e-04,397454,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.256022
430,5.260435,192.57,nan,nan,1.976393e-04,397394,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.260435
440,5.220325,184.99,nan,nan,1.930833e-04,397460,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.220325
450,5.132603,169.46,nan,nan,1.884937e-04,397527,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.132603
460,5.265250,193.49,nan,nan,1.838758e-04,395975,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.265250
470,5.104156,164.71,nan,nan,1.792353e-04,397441,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.104156
480,5.203957,181.99,nan,nan,1.745778e-04,397502,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.203957
490,5.077026,160.30,nan,nan,1.699087e-04,397436,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.077026
500,5.179418,177.58,5.134037,169.70,1.652338e-04,397417,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.179418
510,5.071961,159.49,nan,nan,1.605586e-04,213926,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.071961
520,5.144551,171.49,nan,nan,1.558887e-04,397514,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.144551
530,5.106042,165.02,nan,nan,1.512297e-04,397526,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.106042
540,5.111852,165.98,nan,nan,1.465873e-04,397446,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.111852
550,5.091129,162.57,nan,nan,1.419669e-04,397433,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.091129
560,4.996211,147.85,nan,nan,1.373742e-04,395980,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.996211
570,5.074983,159.97,nan,nan,1.328146e-04,397453,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.074983
580,4.984371,146.11,nan,nan,1.282937e-04,397405,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.984371
590,5.085881,161.72,nan,nan,1.238167e-04,397502,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.085881
600,4.918432,136.79,nan,nan,1.193892e-04,397392,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.918432
610,5.047967,155.71,nan,nan,1.150164e-04,396077,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.047967
620,5.005413,149.22,nan,nan,1.107035e-04,397296,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.005413
630,4.965783,143.42,nan,nan,1.064558e-04,397439,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.965783
640,4.968968,143.88,nan,nan,1.022783e-04,397425,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.968968
650,4.889165,132.84,nan,nan,9.817605e-05,397374,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.889165
660,4.953279,141.64,nan,nan,9.415396e-05,395991,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.953279
670,4.847380,127.41,nan,nan,9.021686e-05,397480,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.847380
680,4.971604,144.26,nan,nan,8.636947e-05,397460,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.971604
690,4.871042,130.46,nan,nan,8.261641e-05,397400,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.871042
700,4.948704,140.99,nan,nan,7.896217e-05,356968,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.948704
710,4.927935,138.09,nan,nan,7.541115e-05,395732,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.927935
720,4.946332,140.66,nan,nan,7.196760e-05,397358,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.946332
730,4.890098,132.97,nan,nan,6.863566e-05,397462,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.890098
740,4.806381,122.29,nan,nan,6.541931e-05,397440,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.806381
750,4.909967,135.63,4.895776,133.72,6.232242e-05,397506,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.909967
760,4.832709,125.55,nan,nan,5.934871e-05,212971,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.832709
770,4.905343,135.01,nan,nan,5.650173e-05,397426,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.905343
780,4.854813,128.36,nan,nan,5.378492e-05,397370,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.854813
790,4.899650,134.24,nan,nan,5.120151e-05,397463,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.899650
800,4.865588,129.75,nan,nan,4.875463e-05,397529,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.865588
810,4.902527,134.63,nan,nan,4.644719e-05,395974,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.902527
820,4.826838,124.82,nan,nan,4.428197e-05,397550,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.826838
830,4.784551,119.65,nan,nan,4.226156e-05,397460,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.784551
840,4.860816,129.13,nan,nan,4.038839e-05,397446,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.860816
850,4.788307,120.10,nan,nan,3.866471e-05,397460,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.788307
