step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.286301,216706.82,nan,nan,6.382979e-06,130939,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,2.230802,1.030931,1.079419,1.127683,1.215256,0.00000617,0.00000000e+00,12.286301
10,11.624914,111850.02,nan,nan,6.382979e-05,333154,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.495762,0.240875,0.252764,0.235773,0.261305,0.00000621,0.00000000e+00,11.624914
20,11.202118,73285.49,nan,nan,1.276596e-04,333929,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.117660,0.057200,0.059448,0.056440,0.062068,0.00000648,0.00000000e+00,11.202118
30,10.460367,34904.37,nan,nan,1.914894e-04,334069,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.091469,0.045250,0.048417,0.043537,0.045600,0.00000699,0.00000000e+00,10.460367
40,9.581389,14492.54,nan,nan,2.553191e-04,333831,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.224757,0.112988,0.108084,0.106946,0.120954,0.00000763,0.00000000e+00,9.581389
50,8.761940,6386.49,nan,nan,2.999927e-04,333879,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.123351,0.058632,0.057829,0.060871,0.068763,0.00001047,0.00000000e+00,8.761940
60,8.126313,3382.31,nan,nan,2.998632e-04,332916,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.148320,0.073203,0.068668,0.070339,0.083529,0.00001371,0.00000000e+00,8.126313
70,7.820897,2492.14,nan,nan,2.995718e-04,334018,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.542693,0.288862,0.230010,0.264687,0.296834,0.00001495,0.00000000e+00,7.820897
80,7.660061,2121.89,nan,nan,2.991191e-04,333999,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.212622,0.112395,0.094831,0.103934,0.113049,0.00001545,0.00000000e+00,7.660061
90,7.427656,1681.86,nan,nan,2.985054e-04,333821,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.384507,0.204308,0.169987,0.179718,0.211920,0.00001529,0.00000000e+00,7.427656
