step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.301281,219977.59,nan,nan,6.382979e-06,105404,nan,nan,nan,nan,4,1.000000,0.500000,0.000000,0.000000,2.310448,1.581249,0.730829,0.726882,0.827465,0.867791,0.00001167,0.00000000e+00,12.301281
10,11.632521,112704.05,nan,nan,6.382979e-05,320573,nan,nan,nan,nan,4,1.000037,0.500006,0.000000,0.000000,0.573204,0.356713,0.175368,0.194324,0.172695,0.169626,0.00001151,0.00000000e+00,11.632521
20,11.219138,74543.50,nan,nan,1.276596e-04,321226,nan,nan,nan,nan,4,1.000367,0.500280,0.000000,0.000000,0.140177,0.088275,0.042984,0.045589,0.044306,0.042405,0.00001150,0.00000000e+00,11.219138
30,10.475662,35442.33,nan,nan,1.914894e-04,321412,nan,nan,nan,nan,4,1.000842,0.501158,0.000000,0.000000,0.153325,0.095442,0.043564,0.047022,0.047959,0.048289,0.00001247,0.00000000e+00,10.475662
40,9.520385,13634.86,nan,nan,2.553191e-04,321073,nan,nan,nan,nan,4,1.001179,0.502178,0.000000,0.000000,0.147660,0.094155,0.046389,0.045623,0.050688,0.045022,0.00001478,0.00000000e+00,9.520385
50,8.619024,5535.98,nan,nan,2.999927e-04,321147,nan,nan,nan,nan,4,1.001325,0.502601,0.000000,0.000000,0.082591,0.055313,0.028014,0.026020,0.028233,0.027985,0.00001663,0.00000000e+00,8.619024
60,7.937562,2800.53,nan,nan,2.998632e-04,319473,nan,nan,nan,nan,4,1.001544,0.502855,0.000000,0.000000,0.430764,0.239216,0.120933,0.107183,0.120298,0.126928,0.00001741,0.00000000e+00,7.937562
70,7.573103,1945.17,nan,nan,2.995718e-04,319950,nan,nan,nan,nan,4,1.002035,0.503278,0.000000,0.000000,0.247918,0.135131,0.067326,0.061919,0.068552,0.068296,0.00001752,0.00000000e+00,7.573103
80,7.376902,1598.63,nan,nan,2.991191e-04,321127,nan,nan,nan,nan,4,1.002338,0.503715,0.000000,0.000000,0.406583,0.223000,0.112395,0.099485,0.117735,0.114904,0.00001784,0.00000000e+00,7.376902
90,7.074083,1180.96,nan,nan,2.985054e-04,319747,nan,nan,nan,nan,4,1.002651,0.504301,0.000000,0.000000,0.242861,0.140666,0.071221,0.065204,0.070556,0.073851,0.00001836,0.00000000e+00,7.074083
100,6.965335,1059.27,nan,nan,2.977316e-04,320889,nan,nan,nan,nan,4,1.002891,0.504756,0.000000,0.000000,0.160555,0.103248,0.053031,0.045981,0.052368,0.054614,0.00001986,0.00000000e+00,6.965335
110,6.747482,851.91,nan,nan,2.967986e-04,319279,nan,nan,nan,nan,4,1.003068,0.505151,0.000000,0.000000,0.271159,0.170875,0.088162,0.078497,0.080695,0.093267,0.00002151,0.00000000e+00,6.747482
120,6.713954,823.82,nan,nan,2.957074e-04,321333,nan,nan,nan,nan,4,1.003231,0.505597,0.000000,0.000000,0.784723,0.452283,0.225057,0.196489,0.238120,0.240532,0.00002237,0.00000000e+00,6.713954
130,6.537074,690.26,nan,nan,2.944595e-04,321103,nan,nan,nan,nan,4,1.003403,0.506176,0.000000,0.000000,0.328070,0.208977,0.107060,0.094649,0.105744,0.109795,0.00002310,0.00000000e+00,6.537074
140,6.497076,663.20,nan,nan,2.930562e-04,321407,nan,nan,nan,nan,4,1.003652,0.506827,0.000000,0.000000,0.754313,0.497206,0.258519,0.204718,0.272158,0.251277,0.00002418,0.00000000e+00,6.497076
150,6.340086,566.84,nan,nan,2.914994e-04,321155,nan,nan,nan,nan,4,1.004084,0.507623,0.000000,0.000000,0.353238,0.230783,0.120337,0.100880,0.112506,0.124930,0.00002475,0.00000000e+00,6.340086
160,6.302580,545.98,nan,nan,2.897907e-04,319202,nan,nan,nan,nan,4,1.004612,0.508379,0.000000,0.000000,0.391746,0.253227,0.128662,0.114357,0.130376,0.131901,0.00002614,0.00000000e+00,6.302580
170,6.221826,503.62,nan,nan,2.879324e-04,320136,nan,nan,nan,nan,4,1.005212,0.509140,0.000000,0.000000,0.638805,0.420961,0.215034,0.182999,0.216045,0.225082,0.00002703,0.00000000e+00,6.221826
180,6.130758,459.78,nan,nan,2.859266e-04,320730,nan,nan,nan,nan,4,1.005945,0.510089,0.000000,0.000000,0.714424,0.455166,0.228815,0.192227,0.240321,0.244643,0.00002748,0.00000000e+00,6.130758
190,6.160580,473.70,nan,nan,2.837758e-04,321067,nan,nan,nan,nan,4,1.006788,0.511138,0.000000,0.000000,0.353810,0.245815,0.128092,0.100783,0.127322,0.132735,0.00002744,0.00000000e+00,6.160580
200,5.956562,386.28,nan,nan,2.814824e-04,321163,nan,nan,nan,nan,4,1.007562,0.511957,0.000000,0.000000,0.652076,0.461867,0.159626,0.161400,0.274618,0.293035,0.00002753,0.00000000e+00,5.956562
210,6.028425,415.06,nan,nan,2.790494e-04,319571,nan,nan,nan,nan,4,1.008368,0.512741,0.000000,0.000000,0.826755,0.517916,0.257710,0.243569,0.267480,0.265884,0.00002633,0.00000000e+00,6.028425
220,5.917603,371.52,nan,nan,2.764795e-04,319709,nan,nan,nan,nan,4,1.009488,0.513848,0.000000,0.000000,0.377016,0.254118,0.128968,0.115006,0.128570,0.134575,0.00002621,0.00000000e+00,5.917603
230,5.966702,390.22,nan,nan,2.737759e-04,321193,nan,nan,nan,nan,4,1.010684,0.515000,0.000000,0.000000,0.821122,0.534421,0.273734,0.236198,0.277120,0.278552,0.00002669,0.00000000e+00,5.966702
240,5.825881,338.96,nan,nan,2.709418e-04,321189,nan,nan,nan,nan,4,1.011956,0.516289,0.000000,0.000000,0.750573,0.493097,0.249230,0.214156,0.259083,0.260446,0.00002659,0.00000000e+00,5.825881
250,5.816395,335.76,5.793799,328.26,2.679806e-04,321182,nan,nan,nan,nan,4,1.013214,0.517507,0.000000,0.000000,0.474027,0.324183,0.165371,0.152911,0.164369,0.165188,0.00002626,0.00000000e+00,5.816395
260,5.768762,320.14,nan,nan,2.648958e-04,177451,nan,nan,nan,nan,4,1.014447,0.518511,0.000000,0.000000,0.547290,0.363169,0.183078,0.169516,0.183809,0.189177,0.00002545,0.00000000e+00,5.768762
270,5.670544,290.19,nan,nan,2.616912e-04,321440,nan,nan,nan,nan,4,1.015706,0.519470,0.000000,0.000000,0.766874,0.496658,0.250081,0.228591,0.254046,0.259129,0.00002494,0.00000000e+00,5.670544
280,5.706019,300.67,nan,nan,2.583707e-04,321037,nan,nan,nan,nan,4,1.016929,0.520450,0.000000,0.000000,0.590350,0.393081,0.198991,0.180823,0.199713,0.205563,0.00002466,0.00000000e+00,5.706019
290,5.586958,266.92,nan,nan,2.549381e-04,321206,nan,nan,nan,nan,4,1.018116,0.521417,0.000000,0.000000,0.718551,0.466651,0.215780,0.202450,0.248562,0.261122,0.00002485,0.00000000e+00,5.586958
300,5.641905,282.00,nan,nan,2.513976e-04,321197,nan,nan,nan,nan,4,1.019333,0.522413,0.000000,0.000000,0.651851,0.414293,0.210613,0.188545,0.211236,0.216697,0.00002494,0.00000000e+00,5.641905
