step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.297232,219088.64,nan,nan,6.382979e-06,109410,nan,nan,nan,nan,4,1.000000,0.500000,0.000000,0.000000,2.342352,1.579308,0.779805,0.701194,0.802723,0.865942,0.00001167,0.00000000e+00,12.297232
10,11.629190,112329.35,nan,nan,6.382979e-05,320787,nan,nan,nan,nan,4,1.000029,0.500031,0.000000,0.000000,0.567263,0.358018,0.172779,0.197124,0.173693,0.170804,0.00001158,0.00000000e+00,11.629190
20,11.214893,74227.75,nan,nan,1.276596e-04,321545,nan,nan,nan,nan,4,1.000328,0.500412,0.000000,0.000000,0.138386,0.089239,0.043600,0.045044,0.044386,0.044346,0.00001182,0.00000000e+00,11.214893
30,10.477266,35499.23,nan,nan,1.914894e-04,321737,nan,nan,nan,nan,4,1.000766,0.501364,0.000000,0.000000,0.139680,0.089432,0.041132,0.040497,0.046006,0.048007,0.00001353,0.00000000e+00,10.477266
40,9.534113,13823.33,nan,nan,2.553191e-04,321410,nan,nan,nan,nan,4,1.001419,0.501830,0.000000,0.000000,0.338183,0.163110,0.088553,0.081848,0.079611,0.075541,0.00001571,0.00000000e+00,9.534113
50,8.633156,5614.77,nan,nan,2.999927e-04,321537,nan,nan,nan,nan,4,1.001697,0.502024,0.000000,0.000000,0.099397,0.057504,0.029379,0.028293,0.028304,0.028362,0.00001662,0.00000000e+00,8.633156
60,7.961659,2868.83,nan,nan,2.998632e-04,319675,nan,nan,nan,nan,4,1.001875,0.502377,0.000000,0.000000,0.086645,0.054155,0.028300,0.025441,0.026933,0.027285,0.00001651,0.00000000e+00,7.961659
70,7.611242,2020.79,nan,nan,2.995718e-04,321528,nan,nan,nan,nan,4,1.002244,0.502685,0.000000,0.000000,0.202920,0.105924,0.053943,0.051488,0.051997,0.052816,0.00001731,0.00000000e+00,7.611242
80,7.410027,1652.47,nan,nan,2.991191e-04,321293,nan,nan,nan,nan,4,1.002524,0.503054,0.000000,0.000000,0.361084,0.180519,0.094184,0.084105,0.089317,0.090060,0.00001728,0.00000000e+00,7.410027
90,7.139057,1260.24,nan,nan,2.985054e-04,319768,nan,nan,nan,nan,4,1.002768,0.503535,0.000000,0.000000,0.312617,0.157171,0.079875,0.075297,0.078949,0.079419,0.00001782,0.00000000e+00,7.139057
100,7.014066,1112.17,nan,nan,2.977316e-04,320299,nan,nan,nan,nan,4,1.002982,0.504100,0.000000,0.000000,0.178697,0.106458,0.055894,0.047413,0.053617,0.054651,0.00001929,0.00000000e+00,7.014066
110,6.798831,896.80,nan,nan,2.967986e-04,319546,nan,nan,nan,nan,4,1.003093,0.504489,0.000000,0.000000,0.174618,0.107829,0.055593,0.051368,0.053071,0.055328,0.00002043,0.00000000e+00,6.798831
120,6.744293,849.20,nan,nan,2.957074e-04,321371,nan,nan,nan,nan,4,1.003136,0.504795,0.000000,0.000000,0.337211,0.181632,0.090105,0.085404,0.094438,0.092602,0.00002153,0.00000000e+00,6.744293
130,6.581802,721.84,nan,nan,2.944595e-04,321150,nan,nan,nan,nan,4,1.003178,0.505178,0.000000,0.000000,0.396848,0.230433,0.121268,0.100622,0.113861,0.122935,0.00002151,0.00000000e+00,6.581802
140,6.527947,683.99,nan,nan,2.930562e-04,321411,nan,nan,nan,nan,4,1.003292,0.505690,0.000000,0.000000,0.442108,0.276053,0.145676,0.133224,0.131311,0.140585,0.00002107,0.00000000e+00,6.527947
150,6.397225,600.18,nan,nan,2.914994e-04,321160,nan,nan,nan,nan,4,1.003484,0.506240,0.000000,0.000000,0.885566,0.513730,0.263367,0.228006,0.262990,0.269820,0.00002148,0.00000000e+00,6.397225
160,6.346308,570.38,nan,nan,2.897907e-04,319326,nan,nan,nan,nan,4,1.003889,0.507164,0.000000,0.000000,0.329277,0.210067,0.107197,0.089421,0.103800,0.117657,0.00002208,0.00000000e+00,6.346308
170,6.269110,528.01,nan,nan,2.879324e-04,320588,nan,nan,nan,nan,4,1.004426,0.508110,0.000000,0.000000,0.582536,0.351370,0.184096,0.161195,0.174887,0.181327,0.00002302,0.00000000e+00,6.269110
180,6.172491,479.38,nan,nan,2.859266e-04,321285,nan,nan,nan,nan,4,1.005106,0.509100,0.000000,0.000000,0.719828,0.436506,0.227479,0.198449,0.219101,0.226068,0.00002306,0.00000000e+00,6.172491
190,6.204446,494.94,nan,nan,2.837758e-04,321277,nan,nan,nan,nan,4,1.005731,0.510130,0.000000,0.000000,0.500692,0.321688,0.173495,0.147236,0.154439,0.166702,0.00002340,0.00000000e+00,6.204446
200,5.999257,403.13,nan,nan,2.814824e-04,321253,nan,nan,nan,nan,4,1.006404,0.511026,0.000000,0.000000,0.683003,0.443916,0.230732,0.181079,0.215819,0.253550,0.00002326,0.00000000e+00,5.999257
210,6.053267,425.50,nan,nan,2.790494e-04,319697,nan,nan,nan,nan,4,1.007191,0.511944,0.000000,0.000000,0.479175,0.308477,0.160315,0.137306,0.151871,0.165204,0.00002339,0.00000000e+00,6.053267
220,5.960793,387.92,nan,nan,2.764795e-04,321188,nan,nan,nan,nan,4,1.008144,0.513030,0.000000,0.000000,0.601202,0.389395,0.201901,0.172554,0.192117,0.209689,0.00002433,0.00000000e+00,5.960793
230,5.994742,401.31,nan,nan,2.737759e-04,321303,nan,nan,nan,nan,4,1.009160,0.514238,0.000000,0.000000,0.558334,0.346859,0.172918,0.152274,0.173167,0.192699,0.00002452,0.00000000e+00,5.994742
240,5.849837,347.18,nan,nan,2.709418e-04,321133,nan,nan,nan,nan,4,1.010203,0.515346,0.000000,0.000000,0.420295,0.268090,0.137276,0.118588,0.131857,0.146424,0.00002460,0.00000000e+00,5.849837
250,5.851524,347.76,5.831387,340.83,2.679806e-04,321047,nan,nan,nan,nan,4,1.011319,0.516551,0.000000,0.000000,0.524991,0.345454,0.175103,0.146196,0.166703,0.198428,0.00002452,0.00000000e+00,5.851524
260,5.798357,329.76,nan,nan,2.648958e-04,181882,nan,nan,nan,nan,4,1.012450,0.517772,0.000000,0.000000,0.386152,0.257714,0.135856,0.115644,0.122943,0.139232,0.00002403,0.00000000e+00,5.798357
270,5.698191,298.33,nan,nan,2.616912e-04,321297,nan,nan,nan,nan,4,1.013546,0.518835,0.000000,0.000000,0.524421,0.341227,0.176974,0.150287,0.166525,0.186246,0.00002333,0.00000000e+00,5.698191
