step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.304110,220600.70,nan,nan,6.382979e-06,107637,nan,nan,nan,nan,4,1.000000,0.500000,0.000000,0.000000,2.345012,1.580050,0.843477,0.821575,0.641394,0.835848,0.00001167,0.00000000e+00,12.304110
10,11.632022,112647.85,nan,nan,6.382979e-05,317521,nan,nan,nan,nan,4,1.000050,0.500046,0.000000,0.000000,0.575891,0.361204,0.179416,0.195683,0.166921,0.178907,0.00001138,0.00000000e+00,11.632022
20,11.215950,74306.23,nan,nan,1.276596e-04,319096,nan,nan,nan,nan,4,1.000421,0.500371,0.000000,0.000000,0.138078,0.094160,0.047239,0.052257,0.043426,0.043607,0.00001082,0.00000000e+00,11.215950
30,10.472912,35344.99,nan,nan,1.914894e-04,319285,nan,nan,nan,nan,4,1.000937,0.501330,0.000000,0.000000,0.150348,0.097729,0.048376,0.054279,0.042801,0.046131,0.00001123,0.00000000e+00,10.472912
40,9.567022,14285.81,nan,nan,2.553191e-04,319071,nan,nan,nan,nan,4,1.001547,0.502140,0.000000,0.000000,0.243231,0.139545,0.072776,0.081256,0.050743,0.069510,0.00001364,0.00000000e+00,9.567022
50,8.701801,6013.74,nan,nan,2.999927e-04,319124,nan,nan,nan,nan,4,1.001793,0.502305,0.000000,0.000000,0.226437,0.105053,0.063463,0.053271,0.044643,0.046224,0.00001904,0.00000000e+00,8.701801
60,8.036518,3091.83,nan,nan,2.998632e-04,317311,nan,nan,nan,nan,4,1.001746,0.502859,0.000000,0.000000,0.107734,0.064174,0.033990,0.034795,0.027615,0.031250,0.00002370,0.00000000e+00,8.036518
70,7.699824,2207.96,nan,nan,2.995718e-04,319147,nan,nan,nan,nan,4,1.001842,0.503407,0.000000,0.000000,0.255564,0.127511,0.066990,0.071885,0.058105,0.056719,0.00002620,0.00000000e+00,7.699824
80,7.532901,1868.52,nan,nan,2.991191e-04,318964,nan,nan,nan,nan,4,1.002036,0.503988,0.000000,0.000000,0.319832,0.157757,0.081840,0.089096,0.073714,0.068983,0.00002633,0.00000000e+00,7.532901
90,7.260673,1423.21,nan,nan,2.985054e-04,318958,nan,nan,nan,nan,4,1.002078,0.504569,0.000000,0.000000,0.495210,0.232227,0.116277,0.124751,0.112635,0.109609,0.00002535,0.00000000e+00,7.260673
100,7.124677,1242.25,nan,nan,2.977316e-04,316745,nan,nan,nan,nan,4,1.001944,0.504956,0.000000,0.000000,0.172663,0.099900,0.047330,0.048377,0.052227,0.051530,0.00002722,0.00000000e+00,7.124677
110,6.926646,1019.07,nan,nan,2.967986e-04,317253,nan,nan,nan,nan,4,1.001746,0.505199,0.000000,0.000000,0.338288,0.185074,0.092892,0.098925,0.087756,0.089652,0.00002862,0.00000000e+00,6.926646
120,6.858014,951.48,nan,nan,2.957074e-04,318988,nan,nan,nan,nan,4,1.001565,0.505530,0.000000,0.000000,0.169768,0.100259,0.047645,0.055433,0.048094,0.048765,0.00002876,0.00000000e+00,6.858014
130,6.689562,803.97,nan,nan,2.944595e-04,318909,nan,nan,nan,nan,4,1.001358,0.505819,0.000000,0.000000,0.504855,0.271730,0.128707,0.146255,0.135059,0.131855,0.00002868,0.00000000e+00,6.689562
140,6.628080,756.03,nan,nan,2.930562e-04,319260,nan,nan,nan,nan,4,1.001216,0.506295,0.000000,0.000000,0.329363,0.194373,0.095566,0.102100,0.089869,0.100394,0.00002886,0.00000000e+00,6.628080
150,6.479492,651.64,nan,nan,2.914994e-04,318646,nan,nan,nan,nan,4,1.001248,0.506742,0.000000,0.000000,0.415073,0.257630,0.116074,0.131246,0.139929,0.125640,0.00003037,0.00000000e+00,6.479492
160,6.445426,629.81,nan,nan,2.897907e-04,316684,nan,nan,nan,nan,4,1.001425,0.507273,0.000000,0.000000,0.719068,0.427291,0.214724,0.230813,0.195968,0.206949,0.00003140,0.00000000e+00,6.445426
170,6.352681,574.03,nan,nan,2.879324e-04,318310,nan,nan,nan,nan,4,1.001788,0.507818,0.000000,0.000000,0.604792,0.368998,0.184893,0.189820,0.178621,0.183861,0.00003285,0.00000000e+00,6.352681
180,6.249505,517.76,nan,nan,2.859266e-04,319000,nan,nan,nan,nan,4,1.002267,0.508336,0.000000,0.000000,0.514731,0.331019,0.161057,0.183068,0.163055,0.153064,0.00003334,0.00000000e+00,6.249505
190,6.287164,537.63,nan,nan,2.837758e-04,318954,nan,nan,nan,nan,4,1.002711,0.508782,0.000000,0.000000,0.544021,0.336430,0.170051,0.174324,0.156007,0.170694,0.00003366,0.00000000e+00,6.287164
200,6.101857,446.69,nan,nan,2.814824e-04,319035,nan,nan,nan,nan,4,1.003411,0.509653,0.000000,0.000000,0.563907,0.335521,0.168045,0.176180,0.158775,0.166665,0.00003299,0.00000000e+00,6.101857
210,6.145596,466.66,nan,nan,2.790494e-04,317428,nan,nan,nan,nan,4,1.004208,0.510526,0.000000,0.000000,0.366911,0.238315,0.118760,0.129530,0.113917,0.112980,0.00003321,0.00000000e+00,6.145596
220,6.060529,428.60,nan,nan,2.764795e-04,318516,nan,nan,nan,nan,4,1.004859,0.510909,0.000000,0.000000,0.996053,0.674165,0.333021,0.319425,0.330335,0.363043,0.00003257,0.00000000e+00,6.060529
230,6.086022,439.67,nan,nan,2.737759e-04,318495,nan,nan,nan,nan,4,1.005628,0.511637,0.000000,0.000000,0.462641,0.292638,0.145038,0.150081,0.144154,0.145314,0.00003248,0.00000000e+00,6.086022
240,5.967995,390.72,nan,nan,2.709418e-04,318340,nan,nan,nan,nan,4,1.006324,0.512306,0.000000,0.000000,1.109210,0.719321,0.363141,0.389797,0.328565,0.354226,0.00003239,0.00000000e+00,5.967995
250,5.946171,382.29,5.924092,373.94,2.679806e-04,318310,nan,nan,nan,nan,4,1.007098,0.513001,0.000000,0.000000,0.537347,0.346298,0.178405,0.178076,0.159907,0.174977,0.00003273,0.00000000e+00,5.946171
260,5.893979,362.85,nan,nan,2.648958e-04,181311,nan,nan,nan,nan,4,1.007773,0.513559,0.000000,0.000000,0.560611,0.372578,0.190712,0.196388,0.175370,0.181543,0.00003222,0.00000000e+00,5.893979
270,5.798491,329.80,nan,nan,2.616912e-04,318492,nan,nan,nan,nan,4,1.008534,0.514126,0.000000,0.000000,0.666427,0.439996,0.223026,0.229027,0.208239,0.218532,0.00003116,0.00000000e+00,5.798491
280,5.835013,342.07,nan,nan,2.583707e-04,318085,nan,nan,nan,nan,4,1.009305,0.514818,0.000000,0.000000,0.672689,0.445123,0.225970,0.224823,0.208578,0.229826,0.00003104,0.00000000e+00,5.835013
290,5.708834,301.52,nan,nan,2.549381e-04,318435,nan,nan,nan,nan,4,1.010124,0.515450,0.000000,0.000000,0.837756,0.548218,0.275324,0.288435,0.256965,0.273858,0.00002969,0.00000000e+00,5.708834
300,5.748749,313.80,nan,nan,2.513976e-04,318353,nan,nan,nan,nan,4,1.010900,0.516076,0.000000,0.000000,0.582900,0.364840,0.188121,0.192376,0.168932,0.179180,0.00002914,0.00000000e+00,5.748749
310,5.650385,284.40,nan,nan,2.477535e-04,316972,nan,nan,nan,nan,4,1.011645,0.516587,0.000000,0.000000,0.589560,0.397383,0.198125,0.221169,0.189290,0.183224,0.00002820,0.00000000e+00,5.650385
320,5.657024,286.30,nan,nan,2.440102e-04,318396,nan,nan,nan,nan,4,1.012484,0.517196,0.000000,0.000000,0.588502,0.367822,0.188405,0.186862,0.172298,0.187185,0.00002753,0.00000000e+00,5.657024
330,5.576496,264.14,nan,nan,2.401720e-04,318200,nan,nan,nan,nan,4,1.013328,0.517683,0.000000,0.000000,0.596093,0.386872,0.195759,0.201664,0.179102,0.196341,0.00002660,0.00000000e+00,5.576496
340,5.639110,281.21,nan,nan,2.362437e-04,318621,nan,nan,nan,nan,4,1.014091,0.518100,0.000000,0.000000,0.841937,0.542482,0.297908,0.302656,0.229891,0.246330,0.00002557,0.00000000e+00,5.639110
350,5.563139,260.64,nan,nan,2.322299e-04,318428,nan,nan,nan,nan,4,1.014948,0.518736,0.000000,0.000000,0.579795,0.376378,0.193183,0.205281,0.172807,0.179413,0.00002488,0.00000000e+00,5.563139
360,5.507921,246.64,nan,nan,2.281354e-04,316948,nan,nan,nan,nan,4,1.015805,0.519377,0.000000,0.000000,0.669485,0.417409,0.211212,0.223625,0.192390,0.206000,0.00002447,0.00000000e+00,5.507921
370,5.500470,244.81,nan,nan,2.239652e-04,318177,nan,nan,nan,nan,4,1.016681,0.519950,0.000000,0.000000,0.706627,0.433627,0.220196,0.222527,0.202213,0.220991,0.00002428,0.00000000e+00,5.500470
380,5.404665,222.44,nan,nan,2.197243e-04,318537,nan,nan,nan,nan,4,1.017507,0.520380,0.000000,0.000000,0.565527,0.358911,0.178017,0.187085,0.169135,0.182524,0.00002368,0.00000000e+00,5.404665
390,5.434550,229.19,nan,nan,2.154177e-04,318475,nan,nan,nan,nan,4,1.018381,0.520877,0.000000,0.000000,0.767849,0.465187,0.241310,0.243443,0.214016,0.229709,0.00002342,0.00000000e+00,5.434550
400,5.495859,243.68,nan,nan,2.110506e-04,318429,nan,nan,nan,nan,4,1.019170,0.521409,0.000000,0.000000,0.584996,0.383511,0.196429,0.203611,0.187281,0.178434,0.00002304,0.00000000e+00,5.495859
410,5.424077,226.80,nan,nan,2.066283e-04,315679,nan,nan,nan,nan,4,1.019978,0.521950,0.000000,0.000000,0.613809,0.378468,0.184611,0.197315,0.177656,0.196296,0.00002244,0.00000000e+00,5.424077
420,5.327247,205.87,nan,nan,2.021561e-04,318396,nan,nan,nan,nan,4,1.020812,0.522438,0.000000,0.000000,0.679051,0.408110,0.203218,0.212865,0.190602,0.208692,0.00002175,0.00000000e+00,5.327247
430,5.331322,206.71,nan,nan,1.976393e-04,318449,nan,nan,nan,nan,4,1.021704,0.522947,0.000000,0.000000,0.604545,0.382957,0.201228,0.208631,0.170570,0.182613,0.00002133,0.00000000e+00,5.331322
440,5.288869,198.12,nan,nan,1.930833e-04,318214,nan,nan,nan,nan,4,1.022602,0.523494,0.000000,0.000000,0.490727,0.309808,0.157157,0.161513,0.148607,0.151825,0.00002090,0.00000000e+00,5.288869
