step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.297232,219088.64,nan,nan,6.382979e-06,104720,nan,nan,nan,nan,4,1.000000,0.500000,0.000000,0.000000,2.342358,1.579311,0.779807,0.701194,0.802724,0.865944,0.00001167,0.00000000e+00,12.297232
10,11.629188,112329.03,nan,nan,6.382979e-05,320699,nan,nan,nan,nan,4,1.000029,0.500031,0.000000,0.000000,0.567279,0.358029,0.172784,0.197132,0.173698,0.170808,0.00001158,0.00000000e+00,11.629188
20,11.214897,74228.03,nan,nan,1.276596e-04,321453,nan,nan,nan,nan,4,1.000328,0.500412,0.000000,0.000000,0.138392,0.089240,0.043601,0.045044,0.044387,0.044347,0.00001184,0.00000000e+00,11.214897
30,10.477309,35500.75,nan,nan,1.914894e-04,321594,nan,nan,nan,nan,4,1.000766,0.501365,0.000000,0.000000,0.162763,0.112236,0.053856,0.052224,0.056504,0.059265,0.00001352,0.00000000e+00,10.477309
40,9.535282,13839.50,nan,nan,2.553191e-04,321286,nan,nan,nan,nan,4,1.001324,0.501793,0.000000,0.000000,1.114131,0.649351,0.363216,0.261916,0.336843,0.327813,0.00001566,0.00000000e+00,9.535282
50,8.629645,5595.09,nan,nan,2.999927e-04,321451,nan,nan,nan,nan,4,1.001582,0.502009,0.000000,0.000000,0.167655,0.084687,0.043267,0.044832,0.041028,0.040017,0.00001673,0.00000000e+00,8.629645
60,7.954186,2847.47,nan,nan,2.998632e-04,319766,nan,nan,nan,nan,4,1.001814,0.502406,0.000000,0.000000,0.088350,0.054231,0.027058,0.025455,0.027354,0.028279,0.00001730,0.00000000e+00,7.954186
70,7.608356,2014.96,nan,nan,2.995718e-04,321659,nan,nan,nan,nan,4,1.002270,0.502773,0.000000,0.000000,0.296913,0.145441,0.072243,0.072030,0.073195,0.072790,0.00001888,0.00000000e+00,7.608356
80,7.420811,1670.39,nan,nan,2.991191e-04,321428,nan,nan,nan,nan,4,1.002561,0.503221,0.000000,0.000000,0.306302,0.154960,0.077167,0.072491,0.078265,0.080433,0.00001912,0.00000000e+00,7.420811
90,7.128239,1246.68,nan,nan,2.985054e-04,319910,nan,nan,nan,nan,4,1.002719,0.503691,0.000000,0.000000,0.213167,0.114142,0.056733,0.054767,0.057860,0.058338,0.00001944,0.00000000e+00,7.128239
100,7.010666,1108.39,nan,nan,2.977316e-04,320095,nan,nan,nan,nan,4,1.002773,0.503931,0.000000,0.000000,0.181469,0.103445,0.052722,0.045580,0.052489,0.055244,0.00002145,0.00000000e+00,7.010666
110,6.798639,896.63,nan,nan,2.967986e-04,319693,nan,nan,nan,nan,4,1.002833,0.504177,0.000000,0.000000,0.308734,0.172953,0.086746,0.080380,0.086868,0.090030,0.00002268,0.00000000e+00,6.798639
120,6.738115,843.97,nan,nan,2.957074e-04,321440,nan,nan,nan,nan,4,1.002899,0.504452,0.000000,0.000000,0.252528,0.150013,0.074100,0.065640,0.077419,0.081653,0.00002387,0.00000000e+00,6.738115
130,6.583308,722.93,nan,nan,2.944595e-04,321251,nan,nan,nan,nan,4,1.002990,0.504965,0.000000,0.000000,0.258069,0.150608,0.075625,0.067139,0.076571,0.081039,0.00002428,0.00000000e+00,6.583308
140,6.523272,680.80,nan,nan,2.930562e-04,321420,nan,nan,nan,nan,4,1.003136,0.505603,0.000000,0.000000,0.250206,0.156719,0.079025,0.073517,0.077903,0.082352,0.00002418,0.00000000e+00,6.523272
150,6.382752,591.55,nan,nan,2.914994e-04,321188,nan,nan,nan,nan,4,1.003373,0.506211,0.000000,0.000000,0.493485,0.304821,0.157612,0.128781,0.155009,0.165538,0.00002397,0.00000000e+00,6.382752
160,6.343840,568.98,nan,nan,2.897907e-04,319343,nan,nan,nan,nan,4,1.003723,0.506884,0.000000,0.000000,0.512406,0.315979,0.157952,0.137926,0.163932,0.169996,0.00002487,0.00000000e+00,6.343840
170,6.253148,519.65,nan,nan,2.879324e-04,320509,nan,nan,nan,nan,4,1.004236,0.507725,0.000000,0.000000,0.503969,0.306853,0.162782,0.142369,0.149957,0.157441,0.00002526,0.00000000e+00,6.253148
180,6.150324,468.87,nan,nan,2.859266e-04,321290,nan,nan,nan,nan,4,1.004796,0.508623,0.000000,0.000000,0.577540,0.368928,0.190623,0.160849,0.185211,0.198666,0.00002551,0.00000000e+00,6.150324
190,6.195005,490.29,nan,nan,2.837758e-04,321301,nan,nan,nan,nan,4,1.005372,0.509511,0.000000,0.000000,0.314603,0.210586,0.110933,0.098768,0.102870,0.108058,0.00002607,0.00000000e+00,6.195005
200,5.996696,402.10,nan,nan,2.814824e-04,321286,nan,nan,nan,nan,4,1.006113,0.510438,0.000000,0.000000,0.687447,0.497084,0.222103,0.163948,0.251822,0.327586,0.00002651,0.00000000e+00,5.996696
210,6.069382,432.41,nan,nan,2.790494e-04,319850,nan,nan,nan,nan,4,1.006927,0.511492,0.000000,0.000000,0.901568,0.542287,0.276477,0.249304,0.271715,0.285514,0.00002639,0.00000000e+00,6.069382
220,5.957103,386.49,nan,nan,2.764795e-04,321213,nan,nan,nan,nan,4,1.007837,0.512719,0.000000,0.000000,0.717449,0.467003,0.251275,0.201386,0.226832,0.250598,0.00002673,0.00000000e+00,5.957103
230,5.990204,399.50,nan,nan,2.737759e-04,321264,nan,nan,nan,nan,4,1.008829,0.513898,0.000000,0.000000,0.479833,0.320784,0.161405,0.129707,0.156038,0.188509,0.00002641,0.00000000e+00,5.990204
240,5.852423,348.08,nan,nan,2.709418e-04,321250,nan,nan,nan,nan,4,1.009945,0.515128,0.000000,0.000000,0.482269,0.306595,0.155760,0.142299,0.152980,0.161165,0.00002640,0.00000000e+00,5.852423
250,5.856108,349.36,5.842992,344.81,2.679806e-04,321193,nan,nan,nan,nan,4,1.011037,0.516342,0.000000,0.000000,0.766257,0.498890,0.261720,0.219252,0.242167,0.271171,0.00002624,0.00000000e+00,5.856108
260,5.798728,329.88,nan,nan,2.648958e-04,182623,nan,nan,nan,nan,4,1.012181,0.517499,0.000000,0.000000,0.567793,0.354896,0.181852,0.158529,0.175335,0.192149,0.00002624,0.00000000e+00,5.798728
270,5.696241,297.75,nan,nan,2.616912e-04,321535,nan,nan,nan,nan,4,1.013349,0.518574,0.000000,0.000000,0.436605,0.287138,0.148016,0.130789,0.143351,0.151248,0.00002530,0.00000000e+00,5.696241
280,5.739860,311.02,nan,nan,2.583707e-04,321207,nan,nan,nan,nan,4,1.014532,0.519620,0.000000,0.000000,0.614348,0.399550,0.198368,0.168869,0.198127,0.229020,0.00002442,0.00000000e+00,5.739860
290,5.617224,275.12,nan,nan,2.549381e-04,321367,nan,nan,nan,nan,4,1.015664,0.520815,0.000000,0.000000,0.572814,0.362621,0.188875,0.163787,0.179254,0.191458,0.00002408,0.00000000e+00,5.617224
300,5.659755,287.08,nan,nan,2.513976e-04,321276,nan,nan,nan,nan,4,1.016784,0.521914,0.000000,0.000000,0.473809,0.302925,0.157284,0.135272,0.147076,0.164366,0.00002429,0.00000000e+00,5.659755
310,5.564155,260.90,nan,nan,2.477535e-04,319671,nan,nan,nan,nan,4,1.017877,0.522850,0.000000,0.000000,0.689199,0.422713,0.216203,0.194694,0.210387,0.222720,0.00002424,0.00000000e+00,5.564155
320,5.564055,260.88,nan,nan,2.440102e-04,321111,nan,nan,nan,nan,4,1.018973,0.523825,0.000000,0.000000,0.479801,0.309892,0.160903,0.134876,0.148771,0.172389,0.00002385,0.00000000e+00,5.564055
330,5.493945,243.21,nan,nan,2.401720e-04,320989,nan,nan,nan,nan,4,1.020059,0.524678,0.000000,0.000000,0.566799,0.352886,0.184404,0.160197,0.172778,0.186866,0.00002317,0.00000000e+00,5.493945
340,5.564232,260.92,nan,nan,2.362437e-04,321609,nan,nan,nan,nan,4,1.021198,0.525676,0.000000,0.000000,0.919049,0.566697,0.285271,0.245942,0.283900,0.313700,0.00002268,0.00000000e+00,5.564232
350,5.481434,240.19,nan,nan,2.322299e-04,321400,nan,nan,nan,nan,4,1.022401,0.526689,0.000000,0.000000,0.622701,0.384546,0.199836,0.177134,0.186017,0.204566,0.00002255,0.00000000e+00,5.481434
360,5.431775,228.55,nan,nan,2.281354e-04,319748,nan,nan,nan,nan,4,1.023558,0.527684,0.000000,0.000000,0.645107,0.395043,0.203635,0.179241,0.194940,0.210528,0.00002253,0.00000000e+00,5.431775
370,5.421506,226.22,nan,nan,2.239652e-04,321354,nan,nan,nan,nan,4,1.024709,0.528581,0.000000,0.000000,0.545798,0.346764,0.174246,0.152345,0.171835,0.192429,0.00002235,0.00000000e+00,5.421506
380,5.330387,206.52,nan,nan,2.197243e-04,321350,nan,nan,nan,nan,4,1.025787,0.529408,0.000000,0.000000,0.510703,0.325121,0.164109,0.145344,0.162909,0.176092,0.00002194,0.00000000e+00,5.330387
390,5.363091,213.38,nan,nan,2.154177e-04,321375,nan,nan,nan,nan,4,1.026843,0.530250,0.000000,0.000000,0.719981,0.427144,0.219121,0.195856,0.210758,0.227179,0.00002209,0.00000000e+00,5.363091
