step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.326782,225659.44,nan,nan,3.000000e-05,3721,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.326782
10,11.493378,98064.20,nan,nan,3.000000e-04,5576,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.493378
20,10.507355,36583.58,nan,nan,2.981588e-04,5580,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.507355
30,9.629456,15206.16,nan,nan,2.926853e-04,5318,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.629456
40,8.722534,6139.72,nan,nan,2.837290e-04,4876,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.722534
50,8.289062,3980.10,8.341255,4193.35,2.715340e-04,5014,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.289062
60,7.951599,2840.11,nan,nan,2.564330e-04,4797,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.951599
70,8.240555,3791.64,nan,nan,2.388380e-04,5142,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.240555
80,8.232056,3759.55,nan,nan,2.192289e-04,5105,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.232056
90,7.978127,2916.46,nan,nan,1.981405e-04,5111,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.978127
100,7.930298,2780.25,8.003368,2991.02,1.761482e-04,5110,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.930298
110,7.877563,2637.44,nan,nan,1.538518e-04,4756,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.877563
120,7.921959,2757.17,nan,nan,1.318595e-04,5042,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.921959
130,7.587868,1974.10,nan,nan,1.107711e-04,5066,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.587868
140,7.914352,2736.27,nan,nan,9.116200e-05,5163,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.914352
150,7.648155,2096.77,7.872818,2624.95,7.356699e-05,5176,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.648155
160,7.658875,2119.37,nan,nan,5.846603e-05,4789,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.658875
170,7.462700,1741.84,nan,nan,4.627104e-05,5137,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.462700
180,7.511986,1829.84,nan,nan,3.731467e-05,5175,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.511986
190,7.556595,1913.32,nan,nan,3.184122e-05,5193,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.556595
200,7.749817,2321.15,7.790913,2418.52,3.000000e-05,5137,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.749817
