step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.321960,224573.98,nan,nan,3.000000e-05,2299,nan,nan,nan,nan,4,1.000000,0.500000,0.000000,0.000000,2.863156,2.000539,0.973677,0.991053,1.014156,1.021355,0.00001167,0.00000000e+00,12.321960
10,11.485962,97339.67,nan,nan,3.000000e-04,4179,nan,nan,nan,nan,4,1.000389,0.500103,0.000000,0.000000,1.018523,0.743111,0.449860,0.150664,0.314426,0.477744,0.00001165,0.00000000e+00,11.485962
20,10.514313,36839.01,nan,nan,2.981588e-04,4202,nan,nan,nan,nan,4,1.000816,0.500424,0.000000,0.000000,0.205969,0.109841,0.056996,0.057089,0.051234,0.054101,0.00001388,0.00000000e+00,10.514313
30,9.624084,15124.70,nan,nan,2.926853e-04,4208,nan,nan,nan,nan,4,1.000831,0.500931,0.000000,0.000000,0.111910,0.062245,0.030619,0.035036,0.029809,0.028575,0.00001616,0.00000000e+00,9.624084
40,8.733353,6206.50,nan,nan,2.837290e-04,4197,nan,nan,nan,nan,4,1.000555,0.501776,0.000000,0.000000,0.094640,0.056759,0.027518,0.031675,0.027669,0.026321,0.00001784,0.00000000e+00,8.733353
50,8.302811,4035.20,8.353958,4246.96,2.715340e-04,4211,nan,nan,nan,nan,4,1.000342,0.502974,0.000000,0.000000,0.075764,0.057679,0.027520,0.032835,0.027510,0.026937,0.00001882,0.00000000e+00,8.302811
60,7.969254,2890.70,nan,nan,2.564330e-04,3749,nan,nan,nan,nan,4,1.000438,0.504570,0.000000,0.000000,0.086368,0.078173,0.035167,0.045171,0.038372,0.036574,0.00001926,0.00000000e+00,7.969254
70,9.901154,19953.37,nan,nan,2.388380e-04,4202,nan,nan,nan,nan,4,1.000414,0.506466,0.000000,0.000000,210.750148,100.011391,29.457615,51.913963,73.293719,32.439944,0.00001952,0.00000000e+00,9.901154
80,8.284317,3961.26,nan,nan,2.192289e-04,4212,nan,nan,nan,nan,4,1.000897,0.507569,0.000000,0.000000,0.087346,0.109369,0.053833,0.059789,0.048364,0.055699,0.00002313,0.00000000e+00,8.284317
90,8.042191,3109.42,nan,nan,1.981405e-04,4213,nan,nan,nan,nan,4,1.001037,0.508369,0.000000,0.000000,0.095851,0.136310,0.064491,0.077428,0.063633,0.065659,0.00002530,0.00000000e+00,8.042191
100,8.055298,3150.44,8.140381,3430.22,1.761482e-04,4195,nan,nan,nan,nan,4,1.001017,0.509034,0.000000,0.000000,0.084337,0.147162,0.078211,0.076839,0.067686,0.070908,0.00002643,0.00000000e+00,8.055298
110,8.020035,3041.28,nan,nan,1.538518e-04,3788,nan,nan,nan,nan,4,1.000967,0.509408,0.000000,0.000000,0.136841,0.208427,0.099957,0.109446,0.106992,0.099716,0.00002707,0.00000000e+00,8.020035
120,8.068939,3193.71,nan,nan,1.318595e-04,4199,nan,nan,nan,nan,4,1.000920,0.509764,0.000000,0.000000,0.137311,0.186524,0.086026,0.099102,0.095037,0.089726,0.00002732,0.00000000e+00,8.068939
130,7.745232,2310.53,nan,nan,1.107711e-04,4215,nan,nan,nan,nan,4,1.000883,0.510238,0.000000,0.000000,0.164872,0.242797,0.118906,0.121212,0.124095,0.118871,0.00002725,0.00000000e+00,7.745232
140,8.050858,3136.48,nan,nan,9.116200e-05,4204,nan,nan,nan,nan,4,1.000897,0.510443,0.000000,0.000000,0.171323,0.266719,0.147821,0.123034,0.122169,0.136191,0.00002722,0.00000000e+00,8.050858
150,7.792603,2422.61,8.027561,3064.26,7.356699e-05,4212,nan,nan,nan,nan,4,1.001002,0.510555,0.000000,0.000000,0.167183,0.227299,0.115123,0.114085,0.117723,0.106747,0.00002727,0.00000000e+00,7.792603
160,7.819748,2489.28,nan,nan,5.846603e-05,3779,nan,nan,nan,nan,4,1.001077,0.510665,0.000000,0.000000,0.473171,0.394132,0.188585,0.202105,0.206978,0.183976,0.00002703,0.00000000e+00,7.819748
170,7.599106,1996.41,nan,nan,4.627104e-05,4204,nan,nan,nan,nan,4,1.001176,0.510721,0.000000,0.000000,0.171422,0.247022,0.128808,0.115686,0.125740,0.122816,0.00002690,0.00000000e+00,7.599106
180,7.701263,2211.14,nan,nan,3.731467e-05,4213,nan,nan,nan,nan,4,1.001209,0.510772,0.000000,0.000000,0.303665,0.293199,0.150179,0.143317,0.156332,0.134261,0.00002671,0.00000000e+00,7.701263
190,7.708984,2228.28,nan,nan,3.184122e-05,4216,nan,nan,nan,nan,4,1.001223,0.510853,0.000000,0.000000,0.453808,0.407628,0.222111,0.198091,0.197484,0.189743,0.00002674,0.00000000e+00,7.708984
200,7.915276,2738.80,7.953987,2846.90,3.000000e-05,4218,nan,nan,nan,nan,4,1.001261,0.510838,0.000000,0.000000,0.299809,0.303310,0.157174,0.144264,0.155270,0.144378,0.00002671,0.00000000e+00,7.915276
