step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.319885,224108.43,nan,nan,3.000000e-05,2323,nan,nan,nan,nan,4,1.000000,0.500000,0.000000,0.000000,2.809450,1.971917,1.022612,1.030371,0.922626,0.964171,0.00001167,0.00000000e+00,12.319885
10,11.492889,98016.33,nan,nan,3.000000e-04,4190,nan,nan,nan,nan,4,1.000367,0.500335,0.000000,0.000000,0.650833,0.482947,0.115782,0.169412,0.300342,0.317653,0.00001185,0.00000000e+00,11.492889
20,10.512146,36759.28,nan,nan,2.981588e-04,4218,nan,nan,nan,nan,4,1.000793,0.500923,0.000000,0.000000,0.224168,0.126476,0.055121,0.064730,0.064221,0.068047,0.00001367,0.00000000e+00,10.512146
30,9.629456,15206.16,nan,nan,2.926853e-04,4224,nan,nan,nan,nan,4,1.000885,0.501787,0.000000,0.000000,0.109429,0.061901,0.031089,0.033810,0.029414,0.029232,0.00001616,0.00000000e+00,9.629456
40,8.754700,6340.42,nan,nan,2.837290e-04,4205,nan,nan,nan,nan,4,1.000701,0.502945,0.000000,0.000000,0.092697,0.057870,0.030277,0.030982,0.026067,0.028020,0.00001787,0.00000000e+00,8.754700
50,8.311035,4068.52,8.352142,4239.25,2.715340e-04,4201,nan,nan,nan,nan,4,1.000554,0.504428,0.000000,0.000000,0.073219,0.063295,0.034508,0.032720,0.027742,0.030727,0.00001870,0.00000000e+00,8.311035
60,7.960403,2865.23,nan,nan,2.564330e-04,3722,nan,nan,nan,nan,4,1.000601,0.506057,0.000000,0.000000,0.077296,0.083454,0.047527,0.043498,0.033487,0.040984,0.00001908,0.00000000e+00,7.960403
70,8.259644,3864.72,nan,nan,2.388380e-04,4206,nan,nan,nan,nan,4,1.000545,0.507529,0.000000,0.000000,0.077234,0.100632,0.061097,0.050390,0.038855,0.048069,0.00001934,0.00000000e+00,8.259644
80,8.277908,3935.95,nan,nan,2.192289e-04,4220,nan,nan,nan,nan,4,0.999887,0.508791,0.000000,0.000000,0.087092,0.141693,0.086775,0.074877,0.054947,0.061239,0.00001946,0.00000000e+00,8.277908
90,8.054245,3147.13,nan,nan,1.981405e-04,4217,nan,nan,nan,nan,4,0.999326,0.509997,0.000000,0.000000,0.084100,0.168222,0.104242,0.077497,0.078485,0.071039,0.00001945,0.00000000e+00,8.054245
100,8.040718,3104.84,8.115242,3345.07,1.761482e-04,4216,nan,nan,nan,nan,4,0.998974,0.510999,0.000000,0.000000,0.121230,0.205490,0.120228,0.103774,0.100542,0.081948,0.00001970,0.00000000e+00,8.040718
110,7.974869,2906.98,nan,nan,1.538518e-04,3750,nan,nan,nan,nan,4,0.999040,0.511579,0.000000,0.000000,0.205034,0.300875,0.172847,0.152830,0.148445,0.122206,0.00002052,0.00000000e+00,7.974869
120,7.991020,2954.31,nan,nan,1.318595e-04,4206,nan,nan,nan,nan,4,0.999107,0.511971,0.000000,0.000000,0.246726,0.255377,0.145369,0.138434,0.123069,0.096872,0.00002056,0.00000000e+00,7.991020
130,7.650139,2100.94,nan,nan,1.107711e-04,4215,nan,nan,nan,nan,4,0.999142,0.512201,0.000000,0.000000,0.237968,0.263054,0.147548,0.148411,0.120045,0.103052,0.00002113,0.00000000e+00,7.650139
140,7.971992,2898.63,nan,nan,9.116200e-05,4215,nan,nan,nan,nan,4,0.999336,0.512342,0.000000,0.000000,0.422451,0.405543,0.231136,0.211177,0.193404,0.165048,0.00002097,0.00000000e+00,7.971992
150,7.688431,2182.95,7.924717,2764.78,7.356699e-05,4211,nan,nan,nan,nan,4,0.999496,0.512463,0.000000,0.000000,0.273636,0.290906,0.160089,0.163803,0.136547,0.113409,0.00002094,0.00000000e+00,7.688431
160,7.695946,2199.41,nan,nan,5.846603e-05,3771,nan,nan,nan,nan,4,0.999600,0.512557,0.000000,0.000000,0.430276,0.361409,0.203320,0.202803,0.167279,0.140448,0.00002082,0.00000000e+00,7.695946
170,7.502953,1813.39,nan,nan,4.627104e-05,4179,nan,nan,nan,nan,4,0.999686,0.512579,0.000000,0.000000,0.314727,0.298450,0.174095,0.158179,0.134990,0.123689,0.00002049,0.00000000e+00,7.502953
180,7.574905,1948.68,nan,nan,3.731467e-05,4209,nan,nan,nan,nan,4,0.999723,0.512579,0.000000,0.000000,0.345598,0.343499,0.197408,0.189087,0.154262,0.139265,0.00002041,0.00000000e+00,7.574905
190,7.580086,1958.80,nan,nan,3.184122e-05,4203,nan,nan,nan,nan,4,0.999765,0.512617,0.000000,0.000000,0.410814,0.370969,0.199557,0.239498,0.149960,0.132340,0.00002032,0.00000000e+00,7.580086
200,7.794563,2427.37,7.848408,2561.65,3.000000e-05,4216,nan,nan,nan,nan,4,0.999803,0.512644,0.000000,0.000000,0.316767,0.302030,0.174201,0.160436,0.133711,0.130823,0.00002023,0.00000000e+00,7.794563
