step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.321411,224450.65,nan,nan,3.000000e-05,2328,nan,nan,nan,nan,4,1.000000,0.500000,0.000000,0.000000,2.857862,1.977701,0.992200,0.988212,0.977320,0.997502,0.00001167,0.00000000e+00,12.321411
10,11.487976,97535.93,nan,nan,3.000000e-04,4182,nan,nan,nan,nan,4,1.000428,0.500025,0.000000,0.000000,0.856209,0.631919,0.228569,0.179806,0.375932,0.416418,0.00001211,0.00000000e+00,11.487976
20,10.523712,37186.91,nan,nan,2.981588e-04,4213,nan,nan,nan,nan,4,1.000962,0.500369,0.000000,0.000000,0.238055,0.133037,0.078707,0.077652,0.050095,0.054305,0.00001457,0.00000000e+00,10.523712
30,9.624084,15124.70,nan,nan,2.926853e-04,4213,nan,nan,nan,nan,4,1.001022,0.500950,0.000000,0.000000,0.109085,0.060603,0.029843,0.035398,0.027746,0.027489,0.00001723,0.00000000e+00,9.624084
40,8.738617,6239.26,nan,nan,2.837290e-04,4204,nan,nan,nan,nan,4,1.000800,0.501762,0.000000,0.000000,0.093946,0.055822,0.027048,0.033473,0.025119,0.025065,0.00001912,0.00000000e+00,8.738617
50,8.293503,3997.81,8.357452,4261.82,2.715340e-04,4191,nan,nan,nan,nan,4,1.000611,0.502997,0.000000,0.000000,0.074913,0.061993,0.027594,0.037790,0.027849,0.029357,0.00002020,0.00000000e+00,8.293503
60,7.940079,2807.58,nan,nan,2.564330e-04,3766,nan,nan,nan,nan,4,1.000784,0.504612,0.000000,0.000000,0.081432,0.083023,0.036681,0.050523,0.034685,0.042185,0.00002071,0.00000000e+00,7.940079
70,8.255753,3849.71,nan,nan,2.388380e-04,4206,nan,nan,nan,nan,4,1.000812,0.506251,0.000000,0.000000,0.085271,0.106347,0.048083,0.063607,0.042482,0.055389,0.00002111,0.00000000e+00,8.255753
80,8.265205,3886.27,nan,nan,2.192289e-04,4213,nan,nan,nan,nan,4,1.000386,0.507335,0.000000,0.000000,0.099827,0.134028,0.060071,0.074122,0.060293,0.071931,0.00002212,0.00000000e+00,8.265205
90,8.045532,3119.83,nan,nan,1.981405e-04,4204,nan,nan,nan,nan,4,1.001052,0.508147,0.000000,0.000000,0.095513,0.125343,0.060132,0.069276,0.054774,0.064866,0.00002509,0.00000000e+00,8.045532
100,8.049957,3133.66,8.134583,3410.39,1.761482e-04,4192,nan,nan,nan,nan,4,1.001293,0.508606,0.000000,0.000000,0.084802,0.118829,0.054372,0.061297,0.058015,0.061988,0.00002776,0.00000000e+00,8.049957
110,8.001633,2985.83,nan,nan,1.538518e-04,3731,nan,nan,nan,nan,4,1.001360,0.508898,0.000000,0.000000,0.125746,0.167673,0.076222,0.087178,0.086273,0.084543,0.00002913,0.00000000e+00,8.001633
120,8.081009,3232.49,nan,nan,1.318595e-04,4170,nan,nan,nan,nan,4,1.001364,0.509129,0.000000,0.000000,0.111992,0.157118,0.073375,0.086358,0.078128,0.074247,0.00002925,0.00000000e+00,8.081009
130,7.753784,2330.37,nan,nan,1.107711e-04,4144,nan,nan,nan,nan,4,1.001351,0.509353,0.000000,0.000000,0.106968,0.169697,0.083559,0.096713,0.082405,0.074055,0.00002939,0.00000000e+00,7.753784
140,8.073456,3208.17,nan,nan,9.116200e-05,4176,nan,nan,nan,nan,4,1.001332,0.509510,0.000000,0.000000,0.143441,0.222323,0.100829,0.114483,0.121838,0.103990,0.00002941,0.00000000e+00,8.073456
150,7.801849,2445.12,8.040230,3103.33,7.356699e-05,4129,nan,nan,nan,nan,4,1.001331,0.509634,0.000000,0.000000,0.114236,0.194029,0.095239,0.104256,0.100226,0.086172,0.00002934,0.00000000e+00,7.801849
160,7.835335,2528.38,nan,nan,5.846603e-05,3642,nan,nan,nan,nan,4,1.001357,0.509780,0.000000,0.000000,0.441234,0.359460,0.161595,0.176415,0.205330,0.168932,0.00002949,0.00000000e+00,7.835335
170,7.636185,2071.82,nan,nan,4.627104e-05,4053,nan,nan,nan,nan,4,1.001384,0.509843,0.000000,0.000000,0.201563,0.240877,0.117447,0.125919,0.128159,0.107458,0.00002981,0.00000000e+00,7.636185
180,7.704323,2217.91,nan,nan,3.731467e-05,4052,nan,nan,nan,nan,4,1.001378,0.509923,0.000000,0.000000,0.177527,0.283248,0.131240,0.147369,0.157806,0.127426,0.00002984,0.00000000e+00,7.704323
190,7.747070,2314.78,nan,nan,3.184122e-05,4043,nan,nan,nan,nan,4,1.001356,0.509994,0.000000,0.000000,0.345170,0.370165,0.172054,0.178406,0.207065,0.177730,0.00002977,0.00000000e+00,7.747070
200,7.950363,2836.60,7.971001,2895.75,3.000000e-05,4028,nan,nan,nan,nan,4,1.001363,0.509995,0.000000,0.000000,0.240418,0.278305,0.134316,0.144645,0.148757,0.123088,0.00002978,0.00000000e+00,7.950363
