step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.324890,225232.87,nan,nan,3.000000e-05,3696,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.324890
10,11.502563,98969.15,nan,nan,3.000000e-04,5704,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.502563
20,10.450623,34565.89,nan,nan,2.981588e-04,5758,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.450623
30,9.625244,15142.25,nan,nan,2.926853e-04,5732,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.625244
40,8.702454,6017.66,nan,nan,2.837290e-04,5768,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.702454
50,8.290359,3985.27,8.333412,4160.59,2.715340e-04,5769,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.290359
60,7.957047,2855.63,nan,nan,2.564330e-04,5330,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.957047
70,8.264999,3885.47,nan,nan,2.388380e-04,5769,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.264999
80,8.298828,4019.16,nan,nan,2.192289e-04,5768,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.298828
90,8.038391,3097.63,nan,nan,1.981405e-04,5739,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.038391
100,8.015907,3028.76,8.115772,3346.84,1.761482e-04,5641,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.015907
110,7.940475,2808.70,nan,nan,1.538518e-04,5174,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.940475
120,7.996017,2969.11,nan,nan,1.318595e-04,5538,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.996017
130,7.687408,2180.72,nan,nan,1.107711e-04,5517,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.687408
140,7.985939,2939.34,nan,nan,9.116200e-05,5479,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.985939
150,7.721069,2255.37,7.966267,2882.08,7.356699e-05,5451,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.721069
160,7.751411,2324.85,nan,nan,5.846603e-05,4996,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.751411
170,7.530785,1864.57,nan,nan,4.627104e-05,5388,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.530785
180,7.640015,2079.77,nan,nan,3.731467e-05,5373,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.640015
190,7.642509,2084.97,nan,nan,3.184122e-05,5337,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.642509
200,7.860771,2593.52,7.889912,2670.21,3.000000e-05,5339,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.860771
