step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.286194,216683.67,nan,nan,3.000000e-05,2322,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,2.709692,1.419347,1.473851,1.248107,1.264072,0.00000616,0.00000000e+00,12.286194
10,11.504791,99189.88,nan,nan,3.000000e-04,4053,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,1.082091,0.243924,0.635293,0.477166,0.692918,0.00000649,0.00000000e+00,11.504791
20,10.488251,35891.32,nan,nan,2.981588e-04,4067,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.169372,0.076333,0.094363,0.082817,0.084244,0.00000760,0.00000000e+00,10.488251
30,9.643158,15415.95,nan,nan,2.926853e-04,4067,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.091312,0.043537,0.048725,0.043527,0.046622,0.00000875,0.00000000e+00,9.643158
40,8.777908,6489.29,nan,nan,2.837290e-04,4107,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.078074,0.039257,0.039341,0.036310,0.041089,0.00000973,0.00000000e+00,8.777908
50,8.318619,4099.49,8.365410,4295.87,2.715340e-04,4078,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.070549,0.034783,0.036236,0.033552,0.036448,0.00001029,0.00000000e+00,8.318619
60,7.968491,2888.49,nan,nan,2.564330e-04,3652,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.089230,0.047294,0.043323,0.040811,0.046721,0.00001070,0.00000000e+00,7.968491
70,8.267792,3896.34,nan,nan,2.388380e-04,4039,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.113156,0.058792,0.054953,0.053416,0.058947,0.00001085,0.00000000e+00,8.267792
80,8.283051,3956.24,nan,nan,2.192289e-04,4050,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.134741,0.069933,0.068411,0.062167,0.068700,0.00001084,0.00000000e+00,8.283051
90,8.045258,3118.97,nan,nan,1.981405e-04,4057,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.154708,0.081039,0.075107,0.073011,0.079973,0.00001112,0.00000000e+00,8.045258
100,8.036102,3090.54,8.112312,3335.28,1.761482e-04,4130,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.190050,0.102041,0.089238,0.087069,0.100807,0.00001128,0.00000000e+00,8.036102
110,7.969566,2891.60,nan,nan,1.538518e-04,3765,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.366679,0.192072,0.183638,0.164384,0.191877,0.00001149,0.00000000e+00,7.969566
120,7.997971,2974.91,nan,nan,1.318595e-04,4116,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.318423,0.154172,0.147311,0.160188,0.173965,0.00001177,0.00000000e+00,7.997971
130,7.666527,2135.65,nan,nan,1.107711e-04,4128,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.288910,0.145612,0.145779,0.131874,0.153701,0.00001169,0.00000000e+00,7.666527
140,8.006653,3000.86,nan,nan,9.116200e-05,4128,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.466682,0.238839,0.245857,0.211394,0.235829,0.00001191,0.00000000e+00,8.006653
150,7.718384,2249.32,7.936710,2798.14,7.356699e-05,4116,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.371777,0.227799,0.181754,0.159989,0.166417,0.00001208,0.00000000e+00,7.718384
160,7.727943,2270.93,nan,nan,5.846603e-05,3749,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.451033,0.238647,0.240629,0.193077,0.226488,0.00001215,0.00000000e+00,7.727943
170,7.528481,1860.28,nan,nan,4.627104e-05,4118,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.329599,0.167164,0.172977,0.156219,0.162378,0.00001223,0.00000000e+00,7.528481
180,7.611710,2021.73,nan,nan,3.731467e-05,4127,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.431527,0.218471,0.226209,0.206035,0.211815,0.00001228,0.00000000e+00,7.611710
190,7.619225,2036.98,nan,nan,3.184122e-05,4124,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.515906,0.301319,0.269735,0.230562,0.222376,0.00001223,0.00000000e+00,7.619225
200,7.818169,2485.35,7.867134,2610.07,3.000000e-05,4116,nan,nan,nan,nan,4,nan,nan,0.000000,0.000000,0.000000,0.427276,0.221042,0.235165,0.194607,0.201322,0.00001220,0.00000000e+00,7.818169
