step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.319031,223917.01,nan,nan,3.000000e-05,2161,nan,nan,nan,nan,4,1.000000,0.500000,0.000000,0.000000,2.792245,1.968216,0.984158,1.062761,0.947583,0.936749,0.00001167,0.00000000e+00,12.319031
10,11.494629,98186.98,nan,nan,3.000000e-04,4071,nan,nan,nan,nan,4,1.000376,0.500129,0.000000,0.000000,0.613410,0.475816,0.110348,0.145094,0.332084,0.287894,0.00001215,0.00000000e+00,11.494629
20,10.541534,37855.61,nan,nan,2.981588e-04,4402,nan,nan,nan,nan,4,1.000772,0.500488,0.000000,0.000000,0.209391,0.112734,0.049619,0.064943,0.055710,0.054058,0.00001446,0.00000000e+00,10.541534
30,9.621704,15088.74,nan,nan,2.926853e-04,4474,nan,nan,nan,nan,4,1.000889,0.501054,0.000000,0.000000,0.111860,0.060457,0.028547,0.034140,0.029367,0.028452,0.00001659,0.00000000e+00,9.621704
40,8.761032,6380.69,nan,nan,2.837290e-04,4452,nan,nan,nan,nan,4,1.000740,0.501735,0.000000,0.000000,0.099020,0.055427,0.028618,0.029506,0.025709,0.026809,0.00001803,0.00000000e+00,8.761032
50,8.298615,4018.30,8.345703,4212.04,2.715340e-04,4478,nan,nan,nan,nan,4,1.000657,0.502642,0.000000,0.000000,0.078467,0.053118,0.026316,0.028514,0.025391,0.025727,0.00001877,0.00000000e+00,8.298615
60,7.945648,2823.26,nan,nan,2.564330e-04,4027,nan,nan,nan,nan,4,1.000795,0.503849,0.000000,0.000000,0.086563,0.067346,0.034700,0.034706,0.030851,0.033951,0.00001903,0.00000000e+00,7.945648
70,12.052658,171554.81,nan,nan,2.388380e-04,4462,nan,nan,nan,nan,4,1.000689,0.505050,0.000000,0.000000,128.382911,54.762237,32.852273,23.978309,27.366263,24.188357,0.00001926,0.00000000e+00,12.052658
80,8.293594,3998.18,nan,nan,2.192289e-04,4222,nan,nan,nan,nan,4,1.001306,0.505984,0.000000,0.000000,0.092223,0.080317,0.039256,0.039465,0.039947,0.041653,0.00002295,0.00000000e+00,8.293594
90,8.072647,3205.58,nan,nan,1.981405e-04,4097,nan,nan,nan,nan,4,1.001519,0.506575,0.000000,0.000000,0.102001,0.096385,0.044442,0.046826,0.052063,0.049033,0.00002590,0.00000000e+00,8.072647
100,8.062317,3172.63,8.150215,3464.12,1.761482e-04,4074,nan,nan,nan,nan,4,1.001513,0.507029,0.000000,0.000000,0.080135,0.095653,0.044610,0.050361,0.052211,0.043405,0.00002753,0.00000000e+00,8.062317
110,8.030228,3072.44,nan,nan,1.538518e-04,3665,nan,nan,nan,nan,4,1.001482,0.507415,0.000000,0.000000,0.126009,0.149805,0.074191,0.078483,0.080285,0.065515,0.00002803,0.00000000e+00,8.030228
120,8.093903,3274.44,nan,nan,1.318595e-04,4072,nan,nan,nan,nan,4,1.001458,0.507809,0.000000,0.000000,0.102385,0.124481,0.059662,0.060657,0.071557,0.055421,0.00002861,0.00000000e+00,8.093903
130,7.772064,2373.37,nan,nan,1.107711e-04,4027,nan,nan,nan,nan,4,1.001458,0.508296,0.000000,0.000000,0.103758,0.142058,0.071978,0.068908,0.081207,0.059715,0.00002919,0.00000000e+00,7.772064
140,8.104996,3310.97,nan,nan,9.116200e-05,4091,nan,nan,nan,nan,4,1.001456,0.508514,0.000000,0.000000,0.143444,0.175784,0.092717,0.088563,0.089517,0.078707,0.00002975,0.00000000e+00,8.104996
150,7.820786,2491.86,8.060608,3167.21,7.356699e-05,4055,nan,nan,nan,nan,4,1.001497,0.508688,0.000000,0.000000,0.106648,0.158349,0.072938,0.078208,0.091217,0.072771,0.00003017,0.00000000e+00,7.820786
160,7.853973,2575.95,nan,nan,5.846603e-05,3641,nan,nan,nan,nan,4,1.001620,0.508922,0.000000,0.000000,0.445268,0.305428,0.134167,0.157907,0.165055,0.148754,0.00003076,0.00000000e+00,7.853973
170,7.637138,2073.80,nan,nan,4.627104e-05,4107,nan,nan,nan,nan,4,1.001727,0.509030,0.000000,0.000000,0.165051,0.173183,0.077345,0.086396,0.099912,0.080185,0.00003104,0.00000000e+00,7.637138
180,7.725067,2264.40,nan,nan,3.731467e-05,4126,nan,nan,nan,nan,4,1.001750,0.509181,0.000000,0.000000,0.222470,0.224955,0.111104,0.111088,0.125192,0.100084,0.00003121,0.00000000e+00,7.725067
190,7.752846,2328.19,nan,nan,3.184122e-05,4106,nan,nan,nan,nan,4,1.001764,0.509307,0.000000,0.000000,0.382970,0.307489,0.135316,0.154497,0.180174,0.139399,0.00003108,0.00000000e+00,7.752846
200,7.958580,2860.01,7.977364,2914.24,3.000000e-05,4099,nan,nan,nan,nan,4,1.001829,0.509310,0.000000,0.000000,0.277764,0.238115,0.113880,0.116483,0.116420,0.125909,0.00003085,0.00000000e+00,7.958580
