step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss,router_aux_loss
1,12.296054,218830.75,nan,nan,7.500000e-05,96239,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.296054,nan
5,11.584518,107421.80,nan,nan,2.999196e-04,100022,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.584518,nan
10,10.970337,58124.17,nan,nan,2.971142e-04,100042,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.970337,nan
15,10.305840,29906.75,nan,nan,2.903821e-04,100050,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.305840,nan
20,9.719892,16645.44,nan,nan,2.799234e-04,100050,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.719892,nan
25,9.209438,9990.98,nan,nan,2.660490e-04,100065,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.209438,nan
30,8.807983,6687.42,nan,nan,2.491711e-04,100053,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.807983,nan
35,8.487707,4854.72,nan,nan,2.297916e-04,100061,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.487707,nan
40,8.222460,3723.65,nan,nan,2.084863e-04,100050,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.222460,nan
45,8.052824,3142.66,nan,nan,1.858885e-04,100058,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.052824,nan
50,7.938799,2803.99,nan,nan,1.626698e-04,100053,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.938799,nan
55,7.815787,2479.44,nan,nan,1.395204e-04,99838,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.815787,nan
60,7.763199,2352.42,nan,nan,1.171283e-04,99964,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.763199,nan
65,7.671028,2145.28,nan,nan,9.615910e-05,99962,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.671028,nan
70,7.644039,2088.16,nan,nan,7.723595e-05,99969,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.644039,nan
75,7.597835,1993.87,7.576550,1951.88,6.092132e-05,99977,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.597835,nan
80,7.577301,1953.35,nan,nan,4.770012e-05,94139,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.577301,nan
85,7.541993,1885.58,nan,nan,3.796532e-05,99982,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.541993,nan
90,7.496091,1800.99,nan,nan,3.200624e-05,99974,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.496091,nan
95,7.473387,1760.56,nan,nan,3.000000e-05,99977,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.473387,nan
