step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss,router_aux_loss
1,12.288692,217225.76,nan,nan,7.500000e-05,88834,0.2252,0.2304,0.2796,0.2648,0,1.000000,0.500000,0.000000,0.000000,1.840633,1.327785,0.660283,0.581662,0.740396,0.663503,0.00001161,0.00000000e+00,12.298921,0.01022894
5,11.617624,111037.61,nan,nan,2.999196e-04,94637,0.2213,0.2215,0.3255,0.2317,0,1.000331,0.500032,0.000000,0.000000,0.404252,0.295378,0.119601,0.149421,0.191189,0.118323,0.00001201,0.00000000e+00,11.629126,0.01150189
10,10.998089,59759.82,nan,nan,2.971142e-04,94351,0.1559,0.3302,0.3240,0.1899,0,1.000713,0.500140,0.000000,0.000000,0.089132,0.061126,0.023736,0.039375,0.033992,0.021146,0.00001628,0.00000000e+00,11.008935,0.01084600
15,10.328215,30583.46,nan,nan,2.903821e-04,94432,0.2591,0.2404,0.2083,0.2922,0,1.000884,0.500335,0.000000,0.000000,0.045673,0.032976,0.018051,0.012220,0.015836,0.018399,0.00002328,0.00000000e+00,10.338831,0.01061562
20,9.738209,16953.15,nan,nan,2.799234e-04,94470,0.3387,0.1942,0.2241,0.2429,0,1.001063,0.500638,0.000000,0.000000,0.046306,0.033756,0.019433,0.013485,0.019708,0.011814,0.00003001,0.00000000e+00,9.748724,0.01051567
25,9.224682,10144.45,nan,nan,2.660490e-04,94540,0.2971,0.2504,0.2284,0.2240,0,1.001258,0.501010,0.000000,0.000000,0.065604,0.048474,0.024999,0.022473,0.026472,0.020443,0.00003544,0.00000000e+00,9.235038,0.01035540
30,8.818616,6758.90,nan,nan,2.491711e-04,94739,0.2518,0.2228,0.2964,0.2290,0,1.001525,0.501552,0.000000,0.000000,0.096031,0.063759,0.035640,0.031062,0.029444,0.030633,0.00003879,0.00000000e+00,8.828907,0.01029148
35,8.507748,4952.99,nan,nan,2.297916e-04,94735,0.2324,0.2455,0.2681,0.2539,0,1.001489,0.501583,0.000000,0.000000,0.297786,0.155859,0.080305,0.099240,0.048677,0.073952,0.00004117,0.00000000e+00,8.518328,0.01058021
40,8.238761,3784.85,nan,nan,2.084863e-04,94718,0.2608,0.2664,0.2422,0.2307,0,1.001549,0.501689,0.000000,0.000000,0.139015,0.076945,0.043477,0.037527,0.043843,0.025824,0.00004329,0.00000000e+00,8.249249,0.01048714
45,8.063147,3175.27,nan,nan,1.858885e-04,94778,0.2846,0.2496,0.1838,0.2820,0,1.001602,0.501720,0.000000,0.000000,0.112520,0.061446,0.035436,0.028119,0.031089,0.027513,0.00004429,0.00000000e+00,8.073534,0.01038705
50,7.941503,2811.58,nan,nan,1.626698e-04,94888,0.1949,0.2618,0.2557,0.2875,0,1.001589,0.501684,0.000000,0.000000,0.114538,0.066002,0.031393,0.036454,0.031535,0.032066,0.00004507,0.00000000e+00,7.951663,0.01016085
55,7.817769,2484.36,nan,nan,1.395204e-04,94709,0.2489,0.2332,0.2533,0.2646,0,1.001590,0.501700,0.000000,0.000000,0.086479,0.054433,0.027115,0.028634,0.027922,0.024658,0.00004551,0.00000000e+00,7.827909,0.01014073
60,7.760020,2344.95,nan,nan,1.171283e-04,94942,0.2449,0.2455,0.2530,0.2566,0,1.001587,0.501709,0.000000,0.000000,0.158617,0.087101,0.045411,0.045372,0.042114,0.040807,0.00004569,0.00000000e+00,7.770150,0.01012996
65,7.667613,2137.97,nan,nan,9.615910e-05,94941,0.2465,0.2466,0.2367,0.2702,0,1.001610,0.501715,0.000000,0.000000,0.101728,0.061576,0.029861,0.030614,0.030384,0.032120,0.00004498,0.00000000e+00,7.677659,0.01004565
70,7.632169,2063.52,nan,nan,7.723595e-05,94952,0.2284,0.2565,0.2446,0.2705,0,1.001650,0.501728,0.000000,0.000000,0.189732,0.100166,0.050295,0.050077,0.046809,0.052420,0.00004398,0.00000000e+00,7.642198,0.01002909
75,7.593858,1985.96,7.564679,1928.85,6.092132e-05,94939,0.2311,0.2495,0.2519,0.2675,0,1.001722,0.501784,0.000000,0.000000,0.473136,0.251426,0.122831,0.122313,0.125146,0.131786,0.00004370,0.00000000e+00,7.603898,0.01004001
80,7.563160,1925.92,nan,nan,4.770012e-05,89012,0.2407,0.2423,0.2485,0.2685,0,1.001798,0.501855,0.000000,0.000000,0.375864,0.187042,0.095573,0.082172,0.093316,0.101803,0.00004346,0.00000000e+00,7.573223,0.01006262
85,7.530996,1864.96,nan,nan,3.796532e-05,94952,0.2458,0.2361,0.2449,0.2732,0,1.001861,0.501916,0.000000,0.000000,0.146597,0.084531,0.043416,0.038996,0.041290,0.045062,0.00004357,0.00000000e+00,7.541054,0.01005785
90,7.492710,1794.91,nan,nan,3.200624e-05,94966,0.2438,0.2385,0.2443,0.2735,0,1.001909,0.501964,0.000000,0.000000,0.168424,0.094996,0.046831,0.045409,0.045253,0.052004,0.00004348,0.00000000e+00,7.502765,0.01005473
95,7.465484,1746.70,nan,nan,3.000000e-05,94943,0.2406,0.2439,0.2448,0.2707,0,1.001961,0.502014,0.000000,0.000000,0.128385,0.074365,0.035035,0.039975,0.034555,0.038518,0.00004333,0.00000000e+00,7.475547,0.01006270
