step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss,router_aux_loss
1,12.288815,217252.28,nan,nan,7.500000e-05,90101,0.2244,0.2305,0.2813,0.2638,0,1.000000,0.500000,0.000000,0.000000,1.844762,1.305766,0.668193,0.560511,0.700409,0.673434,0.00001161,0.00000000e+00,12.288815,nan
5,11.617116,110981.19,nan,nan,2.999196e-04,94743,0.2270,0.2229,0.3241,0.2260,0,1.000328,0.500048,0.000000,0.000000,0.397524,0.285912,0.122174,0.151949,0.175807,0.112966,0.00001204,0.00000000e+00,11.617116,nan
10,10.999044,59816.95,nan,nan,2.971142e-04,94447,0.1612,0.2573,0.3946,0.1869,0,1.000690,0.500161,0.000000,0.000000,0.090942,0.061130,0.018857,0.034822,0.040235,0.023074,0.00001656,0.00000000e+00,10.999044,nan
15,10.328186,30582.59,nan,nan,2.903821e-04,94467,0.1392,0.3143,0.4178,0.1287,0,1.000840,0.500233,0.000000,0.000000,0.046072,0.031712,0.015475,0.015568,0.019906,0.010373,0.00002356,0.00000000e+00,10.328186,nan
20,9.740438,16990.97,nan,nan,2.799234e-04,94508,0.1707,0.2885,0.4105,0.1303,0,1.000972,0.500377,0.000000,0.000000,0.040300,0.025974,0.013609,0.010958,0.016674,0.008115,0.00003065,0.00000000e+00,9.740438,nan
25,9.234588,10245.44,nan,nan,2.660490e-04,94735,0.1736,0.2891,0.4117,0.1256,0,1.001093,0.500546,0.000000,0.000000,0.042775,0.028336,0.015711,0.012736,0.015655,0.008186,0.00003666,0.00000000e+00,9.234588,nan
30,8.834230,6865.27,nan,nan,2.491711e-04,94650,0.1739,0.2949,0.3975,0.1337,0,1.001281,0.500834,0.000000,0.000000,0.086848,0.054585,0.033330,0.028023,0.025465,0.014829,0.00004104,0.00000000e+00,8.834230,nan
35,8.527897,5053.81,nan,nan,2.297916e-04,94673,0.1881,0.3313,0.3710,0.1096,0,1.001436,0.501131,0.000000,0.000000,0.393634,0.295583,0.245579,0.110410,0.091604,0.059006,0.00004400,0.00000000e+00,8.527897,nan
40,8.245414,3810.11,nan,nan,2.084863e-04,94523,0.1682,0.3244,0.3887,0.1187,0,1.001307,0.501124,0.000000,0.000000,0.117315,0.073129,0.050679,0.032371,0.032788,0.024594,0.00004610,0.00000000e+00,8.245414,nan
45,8.069122,3194.30,nan,nan,1.858885e-04,94706,0.1774,0.2737,0.3654,0.1834,0,1.001285,0.501192,0.000000,0.000000,0.097994,0.053632,0.031920,0.025524,0.026432,0.020293,0.00004774,0.00000000e+00,8.069122,nan
50,7.958987,2861.17,nan,nan,1.626698e-04,94768,0.1775,0.2441,0.3687,0.2096,0,1.001305,0.501275,0.000000,0.000000,0.112713,0.060533,0.035394,0.029834,0.030487,0.023853,0.00004887,0.00000000e+00,7.958987,nan
55,7.838436,2536.24,nan,nan,1.395204e-04,94591,0.1783,0.2419,0.3597,0.2201,0,1.001266,0.501319,0.000000,0.000000,0.077253,0.049685,0.029647,0.023022,0.026621,0.018156,0.00004934,0.00000000e+00,7.838436,nan
60,7.785758,2406.09,nan,nan,1.171283e-04,94870,0.1908,0.2426,0.3264,0.2402,0,1.001193,0.501337,0.000000,0.000000,0.079426,0.048906,0.029135,0.023972,0.024646,0.018434,0.00004968,0.00000000e+00,7.785758,nan
65,7.700473,2209.39,nan,nan,9.615910e-05,94923,0.2137,0.2358,0.3184,0.2321,0,1.001151,0.501345,0.000000,0.000000,0.235161,0.128930,0.079911,0.066364,0.054991,0.051960,0.00004943,0.00000000e+00,7.700473,nan
70,7.670748,2144.68,nan,nan,7.723595e-05,94928,0.2225,0.2387,0.3115,0.2273,0,1.001155,0.501357,0.000000,0.000000,0.231368,0.118836,0.065910,0.063136,0.055063,0.051562,0.00004863,0.00000000e+00,7.670748,nan
75,7.623387,2045.48,7.605167,2008.55,6.092132e-05,94961,0.2302,0.2310,0.2983,0.2405,0,1.001171,0.501359,0.000000,0.000000,0.132826,0.080360,0.050724,0.037001,0.038572,0.031255,0.00004763,0.00000000e+00,7.623387,nan
80,7.603889,2005.98,nan,nan,4.770012e-05,89032,0.2360,0.2209,0.2884,0.2547,0,1.001213,0.501386,0.000000,0.000000,0.114360,0.071449,0.046396,0.031547,0.034302,0.027143,0.00004702,0.00000000e+00,7.603889,nan
85,7.573320,1945.59,nan,nan,3.796532e-05,94856,0.2459,0.2080,0.2821,0.2640,0,1.001259,0.501436,0.000000,0.000000,0.125487,0.076512,0.050022,0.031983,0.036539,0.031076,0.00004660,0.00000000e+00,7.573320,nan
90,7.533740,1870.09,nan,nan,3.200624e-05,95011,0.2516,0.2041,0.2787,0.2657,0,1.001318,0.501498,0.000000,0.000000,0.119327,0.069200,0.039015,0.033584,0.032269,0.033070,0.00004640,0.00000000e+00,7.533740,nan
95,7.507191,1821.09,nan,nan,3.000000e-05,95038,0.2587,0.2053,0.2730,0.2631,0,1.001379,0.501559,0.000000,0.000000,0.110135,0.067821,0.041450,0.030507,0.031692,0.030669,0.00004640,0.00000000e+00,7.507191,nan
