step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss,router_aux_loss
1,12.296525,218933.87,nan,nan,7.500000e-05,80740,nan,nan,nan,nan,4,1.000000,0.500000,0.000000,0.000000,2.320048,1.575685,0.753515,0.739010,0.813643,0.840591,0.00001167,0.00000000e+00,12.296525,nan
5,11.586348,107618.47,nan,nan,2.999196e-04,85748,nan,nan,nan,nan,4,1.000126,0.500154,0.000000,0.000000,0.405439,0.249255,0.118373,0.137618,0.123288,0.117908,0.00001099,0.00000000e+00,11.586348,nan
10,10.970429,58129.55,nan,nan,2.971142e-04,85775,nan,nan,nan,nan,4,1.000325,0.500536,0.000000,0.000000,0.098876,0.055538,0.027207,0.028532,0.026756,0.028030,0.00001144,0.00000000e+00,10.970429,nan
15,10.310194,30037.26,nan,nan,2.903821e-04,85755,nan,nan,nan,nan,4,1.000351,0.501052,0.000000,0.000000,0.050007,0.030639,0.014176,0.016036,0.014045,0.015964,0.00001677,0.00000000e+00,10.310194,nan
20,9.727083,16765.58,nan,nan,2.799234e-04,85772,nan,nan,nan,nan,4,1.000289,0.501849,0.000000,0.000000,0.041791,0.028252,0.012500,0.015022,0.011979,0.015010,0.00002391,0.00000000e+00,9.727083,nan
25,9.220936,10106.52,nan,nan,2.660490e-04,85774,nan,nan,nan,nan,4,1.000297,0.502816,0.000000,0.000000,0.065081,0.046595,0.023628,0.028930,0.015956,0.020194,0.00003013,0.00000000e+00,9.220936,nan
30,8.828226,6824.17,nan,nan,2.491711e-04,85760,nan,nan,nan,nan,4,1.000461,0.503799,0.000000,0.000000,2.118725,0.838639,0.493226,0.350593,0.427890,0.391842,0.00003468,0.00000000e+00,8.828226,nan
35,8.513378,4980.96,nan,nan,2.297916e-04,85776,nan,nan,nan,nan,4,1.000747,0.504619,0.000000,0.000000,0.140272,0.087437,0.047432,0.051866,0.035266,0.035830,0.00003856,0.00000000e+00,8.513378,nan
40,8.247041,3816.32,nan,nan,2.084863e-04,85636,nan,nan,nan,nan,4,1.000671,0.504979,0.000000,0.000000,0.085412,0.053155,0.025709,0.027136,0.026994,0.024048,0.00004111,0.00000000e+00,8.247041,nan
45,8.077927,3222.54,nan,nan,1.858885e-04,85784,nan,nan,nan,nan,4,1.000682,0.505359,0.000000,0.000000,0.075050,0.048010,0.021729,0.024291,0.025457,0.024147,0.00004205,0.00000000e+00,8.077927,nan
50,7.961130,2867.31,nan,nan,1.626698e-04,85779,nan,nan,nan,nan,4,1.000622,0.505742,0.000000,0.000000,0.074445,0.046662,0.023604,0.022047,0.023612,0.021789,0.00004214,0.00000000e+00,7.961130,nan
55,7.849726,2565.03,nan,nan,1.395204e-04,85568,nan,nan,nan,nan,4,1.000617,0.506045,0.000000,0.000000,0.083611,0.055347,0.023655,0.027174,0.028822,0.030370,0.00004148,0.00000000e+00,7.849726,nan
60,7.803578,2449.35,nan,nan,1.171283e-04,85747,nan,nan,nan,nan,4,1.000566,0.506222,0.000000,0.000000,0.128406,0.074048,0.036638,0.038247,0.038583,0.034268,0.00004066,0.00000000e+00,7.803578,nan
65,7.715471,2242.78,nan,nan,9.615910e-05,85748,nan,nan,nan,nan,4,1.000538,0.506296,0.000000,0.000000,0.092493,0.060443,0.031357,0.026655,0.031299,0.030735,0.00003983,0.00000000e+00,7.715471,nan
70,7.690001,2186.38,nan,nan,7.723595e-05,85753,nan,nan,nan,nan,4,1.000552,0.506281,0.000000,0.000000,0.174880,0.105770,0.056877,0.051981,0.049736,0.051692,0.00003927,0.00000000e+00,7.690001,nan
75,7.646399,2093.10,7.627293,2053.48,6.092132e-05,85752,nan,nan,nan,nan,4,1.000599,0.506244,0.000000,0.000000,0.145398,0.082176,0.039357,0.045618,0.038641,0.039032,0.00003860,0.00000000e+00,7.646399,nan
80,7.626739,2052.35,nan,nan,4.770012e-05,79436,nan,nan,nan,nan,4,1.000660,0.506225,0.000000,0.000000,0.136280,0.078079,0.039402,0.041402,0.038638,0.035969,0.00003817,0.00000000e+00,7.626739,nan
85,7.596555,1991.32,nan,nan,3.796532e-05,85748,nan,nan,nan,nan,4,1.000716,0.506217,0.000000,0.000000,0.142002,0.081808,0.038605,0.044449,0.040927,0.039090,0.00003780,0.00000000e+00,7.596555,nan
90,7.557567,1915.18,nan,nan,3.200624e-05,85747,nan,nan,nan,nan,4,1.000770,0.506213,0.000000,0.000000,0.120215,0.071426,0.035860,0.036957,0.035619,0.033950,0.00003749,0.00000000e+00,7.557567,nan
95,7.530968,1864.91,nan,nan,3.000000e-05,85742,nan,nan,nan,nan,4,1.000839,0.506219,0.000000,0.000000,0.140975,0.080994,0.038689,0.041029,0.042600,0.039058,0.00003719,0.00000000e+00,7.530968,nan
