step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss,router_aux_loss
1,12.296054,218830.75,nan,nan,6.382979e-06,94622,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.296054,nan
10,11.619430,111238.25,nan,nan,6.382979e-05,99974,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.619430,nan
20,11.197886,72975.97,nan,nan,1.276596e-04,100021,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.197886,nan
30,10.440551,34219.50,nan,nan,1.914894e-04,100025,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.440551,nan
40,9.473892,13015.45,nan,nan,2.553191e-04,100025,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.473892,nan
50,8.595994,5409.94,nan,nan,2.999927e-04,100025,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.595994,nan
60,7.965728,2880.53,nan,nan,2.998632e-04,100051,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.965728,nan
70,7.601921,2002.04,nan,nan,2.995718e-04,100080,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.601921,nan
80,7.341014,1542.28,nan,nan,2.991191e-04,100082,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.341014,nan
90,7.104074,1216.92,nan,nan,2.985054e-04,100084,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.104074,nan
100,6.942829,1035.70,nan,nan,2.977316e-04,100082,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.942829,nan
110,6.812354,909.01,nan,nan,2.967986e-04,100023,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.812354,nan
120,6.689897,804.24,nan,nan,2.957074e-04,100063,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.689897,nan
130,6.551545,700.33,nan,nan,2.944595e-04,100061,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.551545,nan
140,6.481821,653.16,nan,nan,2.930562e-04,100064,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.481821,nan
150,6.391199,596.57,nan,nan,2.914994e-04,100063,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.391199,nan
160,6.322551,556.99,nan,nan,2.897907e-04,99985,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.322551,nan
170,6.254685,520.45,nan,nan,2.879324e-04,100010,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.254685,nan
180,6.190644,488.16,nan,nan,2.859266e-04,100012,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.190644,nan
190,6.114661,452.44,nan,nan,2.837758e-04,100012,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.114661,nan
200,6.070710,432.99,nan,nan,2.814824e-04,100009,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.070710,nan
210,6.010118,407.53,nan,nan,2.790494e-04,99974,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.010118,nan
220,5.962521,388.59,nan,nan,2.764795e-04,100004,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.962521,nan
230,5.912656,369.69,nan,nan,2.737759e-04,100006,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.912656,nan
240,5.889584,361.25,nan,nan,2.709418e-04,100005,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.889584,nan
250,5.820426,337.12,nan,nan,2.679806e-04,100001,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.820426,nan
260,5.763859,318.58,nan,nan,2.648958e-04,99964,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.763859,nan
270,5.704051,300.08,nan,nan,2.616912e-04,99998,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.704051,nan
280,5.688155,295.35,nan,nan,2.583707e-04,99998,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.688155,nan
290,5.610601,273.31,nan,nan,2.549381e-04,99998,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.610601,nan
300,5.587250,267.00,nan,nan,2.513976e-04,99999,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.587250,nan
310,5.545101,255.98,nan,nan,2.477535e-04,99962,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.545101,nan
320,5.501534,245.07,nan,nan,2.440102e-04,99999,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.501534,nan
330,5.471625,237.85,nan,nan,2.401720e-04,99999,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.471625,nan
340,5.452981,233.45,nan,nan,2.362437e-04,99998,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.452981,nan
350,5.440070,230.46,nan,nan,2.322299e-04,99997,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.440070,nan
360,5.367973,214.43,nan,nan,2.281354e-04,99976,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.367973,nan
370,5.369701,214.80,nan,nan,2.239652e-04,100000,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.369701,nan
380,5.328315,206.09,nan,nan,2.197243e-04,100005,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.328315,nan
390,5.323165,205.03,nan,nan,2.154177e-04,100005,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.323165,nan
400,5.287722,197.89,nan,nan,2.110506e-04,100001,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.287722,nan
410,5.240994,188.86,nan,nan,2.066283e-04,99969,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.240994,nan
420,5.251704,190.89,nan,nan,2.021561e-04,100005,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.251704,nan
430,5.207193,182.58,nan,nan,1.976393e-04,99990,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.207193,nan
440,5.170298,175.97,nan,nan,1.930833e-04,99997,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.170298,nan
450,5.171742,176.22,nan,nan,1.884937e-04,99995,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.171742,nan
460,5.156492,173.55,nan,nan,1.838758e-04,99972,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.156492,nan
470,5.150251,172.47,nan,nan,1.792353e-04,100001,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.150251,nan
480,5.095213,163.24,nan,nan,1.745778e-04,99999,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.095213,nan
490,5.105223,164.88,nan,nan,1.699087e-04,100004,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.105223,nan
500,5.113510,166.25,nan,nan,1.652338e-04,100005,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.113510,nan
