step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss,router_aux_loss
1,12.288692,217225.76,nan,nan,6.382979e-06,88299,0.2252,0.2304,0.2796,0.2648,0,1.000000,0.500000,0.000000,0.000000,1.840649,1.327803,0.660290,0.581668,0.740404,0.663516,0.00001161,0.00000000e+00,12.298921,0.01022894
10,11.665369,116467.67,nan,nan,6.382979e-05,94740,0.2224,0.2153,0.3210,0.2413,0,1.000157,0.500026,0.000000,0.000000,0.546936,0.391429,0.181469,0.196371,0.239082,0.156500,0.00001168,0.00000000e+00,11.676772,0.01140336
20,11.238676,76014.25,nan,nan,1.276596e-04,94602,0.1888,0.2769,0.3421,0.1921,0,1.000582,0.500237,0.000000,0.000000,0.119793,0.086598,0.034841,0.042964,0.055120,0.036231,0.00001237,0.00000000e+00,11.249295,0.01062008
30,10.470725,35267.78,nan,nan,1.914894e-04,94632,0.2542,0.2541,0.2324,0.2593,0,1.001111,0.500894,0.000000,0.000000,0.152903,0.113025,0.063254,0.057148,0.056663,0.042917,0.00001369,0.00000000e+00,10.481251,0.01052453
40,9.494059,13280.59,nan,nan,2.553191e-04,94730,0.2921,0.2277,0.2507,0.2296,0,1.001360,0.501237,0.000000,0.000000,0.145055,0.109100,0.054205,0.053270,0.061698,0.047565,0.00001533,0.00000000e+00,9.504913,0.01085505
50,8.610751,5490.37,nan,nan,2.999927e-04,94816,0.2179,0.2634,0.2472,0.2716,0,1.001333,0.501198,0.000000,0.000000,0.112462,0.076027,0.037652,0.040862,0.035290,0.036246,0.00001825,0.00000000e+00,8.621095,0.01034342
60,7.983174,2931.22,nan,nan,2.998632e-04,94785,0.2348,0.2788,0.2335,0.2529,0,1.001311,0.501215,0.000000,0.000000,0.082700,0.058640,0.034039,0.030012,0.024792,0.026337,0.00002069,0.00000000e+00,7.993381,0.01020748
70,7.576675,1952.13,nan,nan,2.995718e-04,94966,0.2546,0.2492,0.2380,0.2582,0,1.001270,0.501405,0.000000,0.000000,0.146373,0.097630,0.053191,0.043177,0.046942,0.051195,0.00002231,0.00000000e+00,7.586758,0.01008251
80,7.350434,1556.87,nan,nan,2.991191e-04,94867,0.2520,0.2342,0.2532,0.2606,0,1.001258,0.501703,0.000000,0.000000,0.221882,0.149321,0.076699,0.070874,0.067123,0.079551,0.00002216,0.00000000e+00,7.360538,0.01010299
90,7.134027,1253.92,nan,nan,2.985054e-04,94959,0.2518,0.2422,0.2448,0.2611,0,1.001218,0.502013,0.000000,0.000000,0.220061,0.153758,0.082839,0.060026,0.066423,0.092690,0.00002242,0.00000000e+00,7.144139,0.01011228
100,6.965782,1059.74,nan,nan,2.977316e-04,94983,0.2622,0.2486,0.2528,0.2364,0,1.001181,0.502144,0.000000,0.000000,0.205712,0.142788,0.078842,0.061024,0.063571,0.079461,0.00002374,0.00000000e+00,6.975867,0.01008430
110,6.821606,917.46,nan,nan,2.967986e-04,94924,0.2499,0.2616,0.2578,0.2307,0,1.001262,0.502310,0.000000,0.000000,0.262812,0.193529,0.125733,0.083285,0.082580,0.085048,0.00002490,0.00000000e+00,6.831657,0.01005138
120,6.705900,817.21,nan,nan,2.957074e-04,95071,0.2485,0.2573,0.2535,0.2407,0,1.001357,0.502479,0.000000,0.000000,0.602271,0.401631,0.223832,0.190567,0.188014,0.198357,0.00002572,0.00000000e+00,6.715934,0.01003376
130,6.574517,716.60,nan,nan,2.944595e-04,95059,0.2472,0.2516,0.2558,0.2454,0,1.001241,0.502702,0.000000,0.000000,0.260223,0.188930,0.104446,0.086880,0.092386,0.092389,0.00002502,0.00000000e+00,6.584561,0.01004366
